doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/655,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 100 g,250.0000,20081920,167062.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {655}.pdf,1
INV,CND/26-27/655,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 100 g,250.0000,20081930,67369.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {655}.pdf,1
INV,CND/26-27/655,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 200 g,300.0000,20081920,62563.05,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {655}.pdf,1
INV,CND/26-27/655,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,150.0000,20081920,68770.35,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {655}.pdf,1
INV,CND/26-27/655,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 200 g,300.0000,20081920,197089.20,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {655}.pdf,1
INV,CND/26-27/655,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,200.0000,20081930,51638.40,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {655}.pdf,1
INV,CND/26-27/655,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice 5 in 1 Seeds Mix 200gm,300.0000,20081990,103623.30,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {655}.pdf,1
INV,CND/26-27/656,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Dried Cranberry 100gm,36.0000,20089300,22428.25,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {656}.pdf,1
INV,CND/26-27/656,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Dried Blueberry 100gm,72.0000,20060000,105929.21,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {656}.pdf,1
INV,CND/26-27/657,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Nuts & Seeds Mix 100g (100005422),50.0000,20081990,29883.15,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {657}.pdf,1
INV,CND/26-27/657,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Trail Mix 100g ( 100005227),50.0000,20081990,44896.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {657}.pdf,1
INV,CND/26-27/657,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Prunes 100gm,25.0000,08132000,16240.95,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {657}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 100 g,350.0000,20081920,76957.65,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,500.0000,20081920,234877.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 100 g,350.0000,20081920,233887.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Chia Seeds 100 g,300.0000,20081930,80843.40,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 200 g,400.0000,20081920,83417.40,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,500.0000,20081920,229234.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 200 g,100.0000,20081920,65696.40,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,300.0000,20081930,77457.60,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/658,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Healthy Choice 5 in 1 Seeds Mix 200gm,700.0000,20081990,241787.70,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {658}.pdf,1
INV,CND/26-27/659,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Dried Cranberry 100gm,120.0000,20089300,74760.84,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {659}.pdf,1
INV,CND/26-27/659,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Dried Blueberry 100gm,120.0000,20060000,176548.68,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {659}.pdf,1
INV,CND/26-27/660,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Premia Nuts & Seeds Mix 100g (100005422),50.0000,20081990,29883.15,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {660}.pdf,1
INV,CND/26-27/660,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Premia Trail Mix 100g ( 100005227),25.0000,20081990,22448.25,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {660}.pdf,1
INV,CND/26-27/660,5-May-26,CFPL,OTHER,Avenue Supermarts Limited,Premia Prunes 100gm,100.0000,08132000,64963.80,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {660}.pdf,1
INV,CND/26-27/667,5-May-26,CFPL,W-202,Avenue Supermarts Ltd.,Premia Cashew Salted,31.2000,20081910,30919.20,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {667}.pdf,1
INV,CND/26-27/667,5-May-26,CFPL,W-202,Avenue Supermarts Ltd.,Premia Chatpata Cranberry 100gm,100.8000,20089999,59945.76,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {667}.pdf,1
CN,CND/26,5-May-26,CFPL,W-202,Avenue Supermarts Limited (Dc Antariksh ),PREMIA ALMONDS SMOKD-100G,4.8000,20081930,4421.76,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {CN57}.pdf,1
CN,CF/CN/26-27/60,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Cashew Salted,31.2000,20081910,30919.20,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {CN60}.pdf,1
CN,CF/CN/26-27/60,5-May-26,CFPL,W-202,Avenue Supermarts Limited,Premia Chatpata Cranberry 100gm,100.8000,20089999,59945.76,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\D-Mart {CN60}.pdf,1
INV,CND/26-27/654,5-May-26,CFPL,W-202,ENTERPRISING MAA PRIVATE LIMITED,Dryfruit Instant Energy Laddubar Bites 9gm,384.0000,21069099,220800.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\EMPL [CFPL] {654} (05th May).pdf,1
INV,CND/26-27/661,5-May-26,CFPL,Pawane,Evergreen Foods And Snacks Private Limited Terms of Delivery,Coated Peanuts,30.0000,20081930,5400.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Evergreen Foods [CFPL] {661} (05th May).pdf,1
INV,CND/26-27/650,5-May-26,CFPL,W-202,Ferns ’N’ Petals Pvt. Ltd.,FNP Almonds 26-29 - Salted & Roasted 50 gm,100.0000,08021200,107560.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Ferns N Petals [CFPL] {650} (05th May).pdf,1
INV,CND/26-27/652,5-May-26,CFPL,W-202,Handful of Health Private Limited,Black Pepper Pecannut,10.0000,20081930,20500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00103} [652] (05th May).pdf,1
INV,CND/26-27/652,5-May-26,CFPL,W-202,Handful of Health Private Limited,Caramel Pecannut,30.0000,20081930,61500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00103} [652] (05th May).pdf,1
INV,CND/26-27/652,5-May-26,CFPL,W-202,Handful of Health Private Limited,Pecan Nuts,50.0000,20081990,93750.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00103} [652] (05th May).pdf,1
INV,CND/26-27/645,5-May-26,CFPL,W-202,Handful of Health Private Limited,Oriental Dates,100.0000,08041020,34000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [645] (05th May).pdf,1
INV,CND/26-27/645,5-May-26,CFPL,W-202,Handful of Health Private Limited,Zahidi Dates,100.0000,08041020,12000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [645] (05th May).pdf,1
INV,CND/26-27/645,5-May-26,CFPL,W-202,Handful of Health Private Limited,Fardh Dates,100.0000,08041020,25000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [645] (05th May).pdf,1
INV,CND/26-27/645,5-May-26,CFPL,W-202,Handful of Health Private Limited,Dates Medjool Jumbo Loose,100.0000,08041020,117000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [645] (05th May).pdf,1
INV,CND/26-27/645,5-May-26,CFPL,W-202,Handful of Health Private Limited,Medjoul Dates Large,99.5000,08041020,99500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [645] (05th May).pdf,1
INV,CND/26-27/645,5-May-26,CFPL,W-202,Handful of Health Private Limited,Dates Medjoul Junior Loose,97.5000,08041020,78000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [645] (05th May).pdf,1
INV,CND/26-27/645,5-May-26,CFPL,W-202,Handful of Health Private Limited,Medjoul Dates Super,10.0000,08041020,12500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [645] (05th May).pdf,1
INV,CND/26-27/665,5-May-26,CFPL,W-202,Handful of Health Private Limited,Dates Medjoul Junior Loose,100.0000,08041020,80000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00120} [665] (05th May) [Not Final].pdf,1
INV,CND/26-27/646,5-May-26,CFPL,W-202,Handful of Health Private Limited,Organic Wanan Premium,10.0000,08041020,8800.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00125} [646] (05th May).pdf,1
INV,CND/26-27/646,5-May-26,CFPL,W-202,Handful of Health Private Limited,Organic Seqee Premium,10.0000,08041020,6000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00125} [646] (05th May).pdf,1
INV,CND/26-27/653,5-May-26,CFPL,W-202,Handful of Health Private Limited,Pepper Cashew,150.0000,20081910,135000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00146} [653] (05th May).pdf,1
INV,CND/26-27/653,5-May-26,CFPL,W-202,Handful of Health Private Limited,Masala Cashew,150.0000,20081910,135000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00146} [653] (05th May).pdf,1
INV,CND/26-27/653,5-May-26,CFPL,W-202,Handful of Health Private Limited,Peri Peri Cashew,10.0000,20081910,9000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\HOH [CFPL] {PO00146} [653] (05th May).pdf,1
INV,CND/26-27/647,5-May-26,CFPL,W-202,Jagdish Trading Co,King Solomon Medjoul Super Jumbo 1 Kg,40.0000,08041020,47600.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\JTC [CFPL] {647} (05th May).pdf,1
INV,CND/26-27/647,5-May-26,CFPL,W-202,Jagdish Trading Co,King Solomon Medjoul Super Jumbo 500 Gm,24.0000,08041020,30960.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\JTC [CFPL] {647} (05th May).pdf,1
INV,CND/26-27/648,5-May-26,CFPL,W-202,Jagdish Trading Co,King Solomon Medjoul Dates Large 1kg,40.0000,08041020,39600.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\JTC [CFPL] {648} (05th May).pdf,1
INV,CND/26-27/649,5-May-26,CFPL,W-202,Mie Foods India Private Limited,Dark Chocolate Coated Almond Stuffed Khalas Single,500.0000,18069010,156500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Mie Foods [CFPL] {649} (05th May).pdf,1
INV,CND/26-27/649,5-May-26,CFPL,W-202,Mie Foods India Private Limited,Dark Chocolate Coated Cashew Stuffed Khalas Single,500.0000,18069010,156500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Mie Foods [CFPL] {649} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB AMERICAN ALMOND,10.0000,08021200,8500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB AMERICAN ALMOND,10.0000,08021200,9500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB BLACK PEPPER,1.0000,20081910,1225.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB BLACK RAISIN,2.0000,08062010,1170.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB CHIA SEED LOOSE,5.0000,12079990,1490.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB HAZELNUT LOOSE,2.0000,08022200,4600.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB MAMRA ALMOND,5.0000,08021200,24500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB MILLENNIUM NUT MIX,1.0000,20089999,1100.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB PINENUT LOOSE,1.0000,20081920,5200.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB PUMPKIN SEED,5.0000,20081920,2300.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB RAISIN SANDUKANI,2.0000,08062010,3530.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB ROASTED & SALTED,1.0000,20081910,1150.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB TRAIL MIX - POWER,5.0000,20081930,2450.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB TRAIL MIX SALTED,1.0000,08135020,1130.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/662,5-May-26,CFPL,W-202,Nature’s Basket Limited,NB WALNUTS CHILEAN,10.0000,08023200,14900.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {662} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB AMERICAN ALMOND,8.0000,08021200,7600.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB MAMRA ALMOND,8.0000,08021200,39200.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB MAMRA ALMOND,7.0000,08021200,26250.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB CASHEW W240,8.0000,08013220,8200.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB WALNUTS CHILEAN,15.0000,08023200,22350.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB PISTACHIO IRANI,5.0000,08025200,6450.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB PISTACHIO KERNEL,5.0000,08025200,12000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB PISTACHIO KERNEL 5,5.0000,08025200,10750.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB PECAN NUT LOOSE,6.0000,08029000,10680.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB BRAZIL NUT LOOSE,7.0000,08012200,22400.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB PINENUT LOOSE,3.0000,20081920,15600.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB MACADAMIA LOOSE,6.0000,20081920,13800.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB ANJEER LARGE (SLW),5.0000,08042090,11700.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB BLACK RAISIN,4.0000,08062010,2340.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB PRUNES DRIED,3.0000,08132000,1875.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB DEHYDRATED,2.0000,20060000,1230.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB DEHYDRATED GUAVA,2.0000,20060000,1500.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CND/26-27/663,5-May-26,CFPL,W-202,Nature’s Basket Limited (NW08),NB DEHYDRATED MANGO,4.0000,20060000,2340.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\Natures [CFPL] {663} (05th May).pdf,1
INV,CDPL/26-27/59,5-May-26,CDPL,W-202,PELLAGIC FOOD INGREDIENTS PRIVATE LIMITED,Al Barakah Date Powder,2000.0000,11063090,650000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\PELLAGIC FOODS [CDPL] {59} (05th May).pdf,1
INV,CND/26-27/666,5-May-26,CFPL,F-53,Reliance Consumer Products Ltd.,GOOD LIFE FLAX SEED 100G,711.0000,20081920,128335.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\RCPL [CFPL] {666} (05th May).pdf,1
INV,CND/26-27/666,5-May-26,CFPL,F-53,Reliance Consumer Products Ltd.,GOOD LIFE PUMPKIN SEED 100G,882.0000,20081920,423977.40,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\RCPL [CFPL] {666} (05th May).pdf,1
INV,CND/26-27/666,5-May-26,CFPL,F-53,Reliance Consumer Products Ltd.,GOOD LIFE CHIA SEED 100G,777.0000,12079990,234343.20,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\RCPL [CFPL] {666} (05th May).pdf,1
INV,CND/26-27/666,5-May-26,CFPL,F-53,Reliance Consumer Products Ltd.,GOOD LIFE SUNFLOWER SEED 100G,945.0000,20081920,207427.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\RCPL [CFPL] {666} (05th May).pdf,1
INV,CDPL/26-27/60,5-May-26,CDPL,W-202,S,Al Barakah Date Syrup,1000.0000,20079990,240000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\SS Enterprises [CDPL] {60} (05th May).pdf,1
INV,CND/26-27/651,5-May-26,CFPL,W-202,V R Industries (P) Ltd. (Gurugram),Zahidi Dates,2000.0000,08041020,250000.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\050526\VR Industries [CFPL] {651} (05th May).pdf,1
INV,CND/26-27/671,6-May-26,CFPL,W-202,Australian Consulate-General Mumbai,AUSTRALIA MACADAMIA SWEETCHILLI 100G PCH,1.0000,20081999,4550.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\Australian Consulate [CFPL] {671} (06th May) [Not Final].pdf,1
INV,CND/26-27/671,6-May-26,CFPL,W-202,Australian Consulate-General Mumbai,NUTWORKS ROAST SALT INSHELL 100G PCH,2.0000,20081999,5600.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\Australian Consulate [CFPL] {671} (06th May) [Not Final].pdf,1
INV,CND/26-27/671,6-May-26,CFPL,W-202,Australian Consulate-General Mumbai,NUTWORKS ROSEMARY & SEASALT 75G PCH,0.7500,20081999,4550.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\Australian Consulate [CFPL] {671} (06th May) [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 100 g,100.0000,20081920,20601.90,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 100 g,100.0000,20081920,45589.50,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Watermelon Seeds 100 g,75.0000,20081920,49079.25,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 100 g,75.0000,20081930,19171.35,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Sunflower Seeds 200 g,150.0000,20081920,29202.53,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Roasted Pumpkin Seeds 200 g,150.0000,20081920,66691.35,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice Chia Seeds 200 g,250.0000,20081930,61083.00,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/672,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Healthy Choice 5 in 1 Seeds Mix 200gm,150.0000,20081990,49732.65,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {672} [Not Final].pdf,1
INV,CND/26-27/673,6-May-26,CFPL,W-202,Avenue Supermarts Limited,Dried Cranberry 100gm,12.0000,20089300,7476.08,26-27 Invoice+CN Pdfs.zip,26-27\02.MAY 26\060526\D-Mart {673} [Not Final].pdf,1
