doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_zip,source_pdf,page
INV,CND/26-27/502,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Nuts & Seeds Mix 100g (100005422),150.0000,20081990,89649.45,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {502} [Not Final].pdf,1
INV,CND/26-27/502,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Trail Mix 100g ( 100005227),100.0000,20081990,89793.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {502} [Not Final].pdf,1
INV,CND/26-27/502,25-Apr-26,CFPL,W-202,Avenue Supermarts Limited,Premia Prunes 100gm,175.0000,08132000,113686.65,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\D-Mart {502} [Not Final].pdf,1
CN,CF/CN/26-27/39,25-Apr-26,CFPL,W-202,Evergreen Food Industries (F2C) LLC,SS 304 Table,0.0000,72042100,194446.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\Evergreen Food Industries [CFPL] {CN39} (25th Apr).pdf,1
CN,CF/CN/26-27/39,25-Apr-26,CFPL,W-202,Evergreen Food Industries (F2C) LLC,Capital Item,0.0000,90318000,305554.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\Evergreen Food Industries [CFPL] {CN39} (25th Apr).pdf,1
INV,CND/26-27/485,25-Apr-26,CFPL,W-202,Handful of Health Private Limited,AL BARAKAH PREMIUM SEEDLESS DATES 500G,8.0000,08041020,1360.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\HOH [CFPL] {PO00042} [485] (25th Apr).pdf,1
INV,CND/26-27/485,25-Apr-26,CFPL,W-202,Handful of Health Private Limited,AL Barakah Premium Emirates Dates 500g,8.0000,08041020,1536.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\HOH [CFPL] {PO00042} [485] (25th Apr).pdf,1
INV,CND/26-27/491,25-Apr-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE FARD DATES,3090.0000,08041020,808529.40,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RCPL [CFPL] {491} (25th Apr).pdf,1
INV,CND/26-27/491,25-Apr-26,CFPL,OTHER,Reliance Consumer Products Ltd.,GOOD LIFE CHIA SEED 100G,1080.0000,12079990,285876.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RCPL [CFPL] {491} (25th Apr).pdf,1
INV,CDPL/26-27/37,25-Apr-26,CDPL,W-202,Reliance Retail Limited (Navi Mumbai),CURATE DATES KIMIA IMP IRAN 500G,400.0000,08041020,134400.00,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CDPL] {37} (25th Apr) [Not Final].pdf,1
INV,CND/26-27/486,25-Apr-26,CFPL,OTHER,RELIANCE RETAIL LIMITED,PL TURKEY APRICOTS 200G,16.0000,08131000,18595.20,26-27 Invoice+CN Pdfs.zip,26-27\01.APRIL 26\250426\RRL [CFPL] {486} (25th Apr).pdf,1
