doc_type,doc_no,date,entity,unit,buyer,product,qty_kg,hsn,amount,source_pdf,page
INV,CF53/2627/00005,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Pumpkin Seed ( 5% ),12.5000,12129990,4826.25,APMC_INV,8
INV,CF53/2627/00005,7-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Sunflower Seeds,12.5000,12060010,1806.75,APMC_INV,8
INV,CF53/2627/00006,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH FARD DATES PREMIUM - 500g,50.0000,08041020,12870.00,APMC_INV,9
INV,CF53/2627/00006,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Kimia Dates 500 Gm,60.0000,08041020,18414.00,APMC_INV,9
INV,CF53/2627/00006,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,40.0000,08041020,7128.00,APMC_INV,9
INV,CF53/2627/00006,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH SAFAVI DATES 500gm,20.0000,08041020,6732.00,APMC_INV,10
INV,CF53/2627/00007,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH DATES SYRUP (400G Packing),0.0000,20079990,1425.60,APMC_INV,11
INV,CF53/2627/00008,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,16.0000,08041020,2851.20,APMC_INV,12
INV,CF53/2627/00008,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Khanezi Dates 500gm,10.0000,08041020,2475.00,APMC_INV,12
INV,CF53/2627/00008,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH PREMIUM SEEDLESS DATES 500G,8.0000,08041020,1108.80,APMC_INV,12
INV,CF53/2627/00008,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Kimia Dates 500 Gm,12.0000,08041020,3682.80,APMC_INV,12
INV,CF53/2627/00008,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH KHALAS DATES 500 Gm,10.0000,08041020,1386.00,APMC_INV,13
INV,CF53/2627/00009,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Pumpkin Seed ( 5% ),12.5000,12129990,4826.25,APMC_INV,14
INV,CF53/2627/00009,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Sunflower Seeds,12.5000,12060010,1806.75,APMC_INV,14
INV,CF53/2627/00009,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Black Chia Seeds,10.0000,12079990,1930.50,APMC_INV,14
INV,CF53/2627/00010,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,16.0000,08041020,2851.20,APMC_INV,15
INV,CF53/2627/00010,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH FARD DATES PREMIUM - 500g,20.0000,08041020,5148.00,APMC_INV,15
INV,CF53/2627/00010,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Kimia Dates 500 Gm,30.0000,08041020,9207.00,APMC_INV,15
INV,CF53/2627/00010,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH SAFAVI DATES 500gm,10.0000,08041020,3366.00,APMC_INV,16
INV,CF53/2627/00011,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Pumpkin Seed ( 5% ),12.5000,12129990,4826.25,APMC_INV,17
INV,CF53/2627/00012,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,16.0000,08041020,2851.20,APMC_INV,18
INV,CF53/2627/00012,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH FARD DATES PREMIUM - 500g,20.0000,08041020,5148.00,APMC_INV,18
INV,CF53/2627/00012,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Khanezi Dates 500gm,20.0000,08041020,4950.00,APMC_INV,19
INV,CF53/2627/00013,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Pumpkin Seed ( 5% ),12.5000,12129990,4826.25,APMC_INV,20
INV,CF53/2627/00013,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Sunflower Seeds,12.5000,12060010,1806.75,APMC_INV,20
INV,CF53/2627/00014,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,8.0000,08041020,1425.60,APMC_INV,21
INV,CF53/2627/00014,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH FARD DATES PREMIUM - 500g,20.0000,08041020,5148.00,APMC_INV,22
INV,CF53/2627/00015,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Premium Emirate Date Seedless 500gm,16.0000,08041020,2851.20,APMC_INV,23
INV,CF53/2627/00015,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH FARD DATES PREMIUM - 500g,20.0000,08041020,5148.00,APMC_INV,23
INV,CF53/2627/00015,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,Al Barakah Khanezi Dates 500gm,20.0000,08041020,4950.00,APMC_INV,23
INV,CF53/2627/00015,8-Apr-26,CFPL,F-53,GOA BAGAYATDAR S. K. V. S. MARYADIT,AL BARAKAH PREMIUM SEEDLESS DATES 500G,16.0000,08041020,2217.60,APMC_INV,23
