entity,fg,fg_salegroup,case,sfg
cfpl,Carnival Barbeque Cashew 200gm,VA,SFG_reuse_intermediate,Barbeque Cashew Bulk
cfpl,Carnival Barbeque Makhana 125 Gm,VA,SFG_blend,Barbeque Makhana Bulk
cfpl,Carnival Barbeque Makhana 55g,VA,SFG_mint_va,Makhana Bulk (Barbeque)
cfpl,Carnival Berry Barbeque Trail Mix 200g,VA,SFG_blend,Berry Barbeque Trail Mix Bulk
cfpl,Carnival Black Currant 250 Gm,RPC,NO_SFG_plain_repack,
cfpl,Carnival Black Pepper Makhana 125 Gm,VA,SFG_blend,Black Pepper Makhana Bulk
cfpl,Carnival Black Pepper Makhana 55g,VA,SFG_mint_va,Makhana Bulk (Black Pepper & Pepper)
cfpl,Carnival Black Pepper Pistachio 80g,VA,SFG_reuse_intermediate,California Pista Inshell Black Pepper
cfpl,Carnival Blueberries Dried - 250G,RPC,NO_SFG_plain_repack,
cfpl,Carnival Blueberry 100g,RPC,NO_SFG_plain_repack,
cfpl,Carnival California Almonds Independence 1kg,RPC,NO_SFG_plain_repack,
cfpl,Carnival California Pista Roasted and Salted 800g,VA,SFG_blend,California Pista Roasted and Salted Bulk
cfpl,Carnival California Pistachio 200g,RPC,NO_SFG_plain_repack,
cfpl,Carnival California Pitted Prunes 300 Gms,RPC,NO_SFG_plain_repack,
cfpl,Carnival Caramel Sesame Walnut 150g,VA,SFG_blend,Caramel Sesame Walnut Bulk
cfpl,Carnival Caramel Sesame Walnut 70g,RPC,SFG_blend,Caramel Sesame Walnut Bulk
cfpl,Carnival Cashew (400 - 450) 200g Mono Carton,RPC,NO_SFG_plain_repack,
cfpl,Carnival Cashew Roasted And Salted 250g,VA,SFG_reuse_intermediate,Roasted & Salted Cashew Bulk
cfpl,Carnival Chatpata Black Raisins 100g,VA,SFG_mint_va,Indian Black Raisins Bulk (Chatpata)
cfpl,Carnival Chatpata Cranberry 100G,VA,SFG_mint_va,Dried Cranberry Sliced Bulk (Chatpata)
cfpl,Carnival Chatpata Cranberry 250gm,VA,SFG_blend,Chatpata Cranberry Bulk
cfpl,Carnival Chatpata Prunes 100gm,VA,SFG_blend,Chatpata Prunes Bulk
cfpl,Carnival Cheese Cashew 100g,VA,SFG_blend,Cheese Cashew Bulk
cfpl,Carnival Cheese Cashew 230g,VA,SFG_blend,Cheese Cashew Bulk
cfpl,Carnival Cheese Makhana 125g,VA,SFG_blend,Cheese Makhana Bulk
cfpl,Carnival Cheese Makhana 55g,VA,SFG_blend,Cheese Makhana Bulk
cfpl,Carnival Choco Orange Walnut 150gm,VA,SFG_blend,Choco Orange Walnut Bulk
cfpl,Carnival Classic Almonds 100g,RPC,SFG_blend,Classic Almonds Bulk
cfpl,Carnival Classic Almonds 250g,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Anjeer 250g,RPC,NO_SFG_plain_repack,
cfpl,Carnival Classic Cashew 250 Gms,RPC,SFG_blend,Classic Cashew Bulk
