sfg_code,sfg_article,sfg_origin,create_wip_operation,base_recipe,in_all_sku,catalog_type,needs_cataloguing_as_sfg,item_type,uom,sale_group,batch_strategy,item_group,suggested_shelf_life_days,consumed_by_fgs_count,consumed_by_fgs_sample,possible_existing_match
SFG0040,Caramel Pecannut · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,caramel pecannut,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Caramel Pecannut,
SFG0041,Carnial Almond Dragees · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,carnial almond dragees,N,,Y,sfg,kg,wip,FIFO,ALMOND,15,1,Carnial Almond Dragees 100gm,
SFG0042,Carnival Almond Choco Bite · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,carnival almond choco bite,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,15,3,Carnival Almond Choco Bite (Dark Chocolate) 100g; Carnival Almond Choco Bite (Milk Chocolate) 100g; Carnival Almond Choco Bite (White Chocolate) 100g,
SFG0043,Carnival Almond Smoked Paprika · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival almond smoked paprika,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,Carnival Almond Smoked Paprika 200g,
SFG0044,Carnival Barbeque Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival barbeque makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,2,Carnival Barbeque Makhana 125 Gm; Carnival Barbeque Makhana 55g,
SFG0045,Carnival Berry Barbeque Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival berry barbeque trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Carnival Berry Barbeque Trail Mix 200g,
SFG0046,Carnival Black Pepper Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival black pepper makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,2,Carnival Black Pepper Makhana 125 Gm; Carnival Black Pepper Makhana 55g,
SFG0047,Carnival California Pista Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival california pista roasted and salted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Carnival California Pista Roasted and Salted 800g,
SFG0048,Carnival Caramel Sesame Walnut · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival caramel sesame walnut,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,2,Carnival Caramel Sesame Walnut 150g; Carnival Caramel Sesame Walnut 70g,
SFG0049,Carnival Chatpata Black Raisins · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival chatpata black raisins,N,,Y,sfg,kg,wip,FIFO,RAISIN,45,1,Carnival Chatpata Black Raisins 100g,
SFG0050,Carnival Cheese Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival cheese cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,2,Carnival Cheese Cashew 100g; Carnival Cheese Cashew 230g,
SFG0051,Carnival Cheese Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival cheese makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,2,Carnival Cheese Makhana 125g; Carnival Cheese Makhana 55g,
SFG0052,Carnival Choco Orange Walnut · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival choco orange walnut,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Carnival Choco Orange Walnut 150gm,
SFG0053,Carnival Classic Date Bites · WIP · BlendForm,DERIVED_INLINE,Blend & Form,carnival classic date bites,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Carnival Classic Date Bites 357gm,
SFG0054,Carnival Classic Pumpkin Seeds · WIP · Roast,DERIVED_INLINE,Roasting,carnival classic pumpkin seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Carnival Classic Pumpkin Seeds 100g,
SFG0055,Carnival Classic Sunflower Seeds · WIP · Roast,DERIVED_INLINE,Roasting,carnival classic sunflower seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Carnival Classic Sunflower Seeds 100G,
SFG0056,Carnival Cocktail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival cocktail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,3,Carnival Cocktail Mix 100g; Carnival Cocktail Mix 200g; Carnival Cocktail Mix 250g,
SFG0057,Carnival Cocktail Mix Plain · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival cocktail mix plain,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Carnival Cocktail Mix Plain Pouch 100g,
SFG0058,Carnival Crunchy Caramel Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival crunchy caramel trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,3,Carnival Crunchy Caramel Trail Mix 100g; Carnival Crunchy Caramel Trail Mix 200g; Carnival Crunchy Caramel Trail Mix 250g,
SFG0059,Carnival Festive Black Raisin Seedless · WIP · DeSeed,DERIVED_INLINE,De-Seeding,carnival festive black raisin seedless,N,,Y,sfg,kg,wip,FIFO,RAISIN,7,1,Carnival Festive Black Raisin Seedless 150gm,
SFG0060,Carnival Festive California Pista · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festive california pista,N,,Y,sfg,kg,wip,FIFO,PISTA,45,2,Carnival Festive California Pista (21-26) 100gm; Carnival Festive California Pista (21-26) 80gm,
SFG0061,Carnival Festive Chatpata Cranberry · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festive chatpata cranberry,N,,Y,sfg,kg,wip,FIFO,CRANBERRY,45,1,Carnival Festive Chatpata Cranberry 80gm,
SFG0062,Carnival Festive Crunchy Caramel Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festive crunchy caramel trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Carnival Festive Crunchy Caramel Trail Mix 250g,
SFG0063,Carnival Festive Nuts & Seeds Mix · WIP · Roast,DERIVED_INLINE,Roasting,carnival festive nuts & seeds mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Carnival Festive Nuts & Seeds Mix 120g,
SFG0064,Carnival Festive Paan Cranberry · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festive paan cranberry,N,,Y,sfg,kg,wip,FIFO,CRANBERRY,45,1,Carnival Festive Paan Cranberry 125gm,
SFG0065,Carnival Festive Paan Raisin · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festive paan raisin,N,,Y,sfg,kg,wip,FIFO,RAISIN,45,1,Carnival Festive Paan Raisin 125gm,
SFG0066,Carnival Festive Salted Almonds · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festive salted almonds,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,3,Carnival Festive Salted Almonds (27-28 Count) 230gm; Carnival Festive Salted Almonds (27-28 count) 100gm; Carnival Festive Salted Almonds (27-28 count) 150gm,
SFG0067,Carnival Festive Salted Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festive salted cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Carnival Festive Salted Cashew (320) 230gm,
SFG0068,Carnival Festive Seedless Black Raisin · WIP · DeSeed,DERIVED_INLINE,De-Seeding,carnival festive seedless black raisin,N,,Y,sfg,kg,wip,FIFO,RAISIN,7,1,Carnival Festive Seedless Black Raisin 200gm,
SFG0069,Carnival FestiveSalted Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival festivesalted cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Carnival FestiveSalted Cashew (320) 100gm,
SFG0070,Carnival Flax Seeds · WIP · Roast,DERIVED_INLINE,Roasting,carnival flax seeds,N,,Y,sfg,kg,wip,FIFO,SEEDS,45,1,Carnival Flax Seeds 100G,
SFG0071,Carnival Ganpati Date Mewa · WIP · BlendForm,DERIVED_INLINE,Blend & Form,carnival ganpati date mewa,N,,Y,sfg,kg,wip,FIFO,FESTIVE HAMPERS,7,1,Carnival Ganpati Date Mewa Box 242g,
SFG0072,Carnival Himalayan Salt & Pepper Pistachios · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival himalayan salt & pepper pistachios,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Carnival Himalayan Salt & Pepper Pistachios 25g,
SFG0073,Carnival Honey Roasted Almonds · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival honey roasted almonds,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,Carnival Honey Roasted Almonds 100G,
SFG0074,Carnival Mocha Mojo Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival mocha mojo trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,3,Carnival Mocha Mojo Trail Mix 100g; Carnival Mocha Mojo Trail Mix 200g; Carnival Mocha Mojo Trail Mix 250g,
SFG0075,Carnival Nuts & Seed Mix · WIP · Roast,DERIVED_INLINE,Roasting,carnival nuts & seed mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Carnival Nuts & Seed Mix 100gm,
SFG0076,Carnival Pan Raisin · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival pan raisin,N,,Y,sfg,kg,wip,FIFO,RAISIN,45,1,Carnival Pan Raisin 125g,
SFG0077,Carnival Pepper Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival pepper cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,3,Carnival Pepper Cashew 100G; Carnival Pepper Cashew 125gm; Carnival Pepper Cashew 200G,
SFG0078,Carnival Pepper Pistachios · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival pepper pistachios,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Carnival Pepper Pistachios 200G,
SFG0079,Carnival Peri Peri Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival peri peri makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,2,Carnival Peri Peri Makhana 125g; Carnival Peri Peri Makhana 55g,
SFG0080,Carnival Peri Peri Walnut · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival peri peri walnut,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Carnival Peri Peri Walnut 150g,
SFG0081,Carnival Popcorn Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival popcorn makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,2,Carnival Popcorn Makhana 125g; Carnival Popcorn Makhana 55gm,
SFG0082,Carnival Premium Cocktail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival premium cocktail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,2,Carnival Premium Cocktail Mix 100g; Carnival Premium Cocktail Mix 250 Gms,
SFG0083,Carnival Pudina Almonds · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival pudina almonds,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,Carnival Pudina Almonds 125g,
SFG0084,Carnival Pudina Makhana · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival pudina makhana,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Carnival Pudina Makhana 125 Gm,
SFG0085,Carnival Roasted & Salted Almonds · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival roasted & salted almonds,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,3,Carnival Roasted & Salted Almonds 100g; Carnival Roasted & Salted Almonds 230g; Carnival Roasted & Salted Almonds 250g,Roasted & Salted Almonds Bulk
SFG0086,Carnival Roasted & Salted Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival roasted & salted cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,2,Carnival Roasted & Salted Cashew 100g; Carnival Roasted & Salted Cashew 230g,Roasted & Salted Cashew Bulk
SFG0087,Carnival Roasted & Salted Pistachio · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival roasted & salted pistachio,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Carnival Roasted & Salted Pistachio 200g,
SFG0088,Carnival Salt & Pepper Walnut · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,carnival salt & pepper walnut,N,,Y,sfg,kg,wip,FIFO,WALNUT,45,1,Carnival Salt & Pepper Walnut 150g,
