sfg_code,sfg_article,sfg_origin,create_wip_operation,base_recipe,in_all_sku,catalog_type,needs_cataloguing_as_sfg,item_type,uom,sale_group,batch_strategy,item_group,suggested_shelf_life_days,consumed_by_fgs_count,consumed_by_fgs_sample,possible_existing_match
SFG0121,Crunchy Caramel Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,crunchy caramel trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,2,Crunchy Caramel Trail Mix; Crunchy Caramel Trail Mix 230g,
SFG0122,CURATE DATE BITES IND · WIP · BlendForm,DERIVED_INLINE,Blend & Form,curate date bites ind,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,CURATE DATE BITES IND 210G,
SFG0123,CURATE DATE BITES ROSE IND · WIP · BlendForm,DERIVED_INLINE,Blend & Form,curate date bites rose ind,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,2,CURATE DATE BITES ROSE IND 210G; CURATE DATE BITES ROSE IND 360G,
SFG0124,Curate Pista Pishori · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,curate pista pishori,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Curate Pista Pishori 200g,
SFG0125,Curate Roasted Hazelnuts · WIP · Roast,DERIVED_INLINE,Roasting,curate roasted hazelnuts,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,2,Curate Roasted Hazelnuts 200g; Curate Roasted Hazelnuts 550g Jr,
SFG0126,Daily Mewa Healthy Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,daily mewa healthy mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Daily Mewa Healthy Mix,
SFG0127,Dark Almond Draggies · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,dark almond draggies,N,,Y,sfg,kg,wip,FIFO,ALMOND,15,1,Dark Almond Draggies,
SFG0128,Dark Chocolate Coated Almond Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,DERIVED_INLINE,De-Seeding + Stuffing + Enrobe / Choco-Coat,dark chocolate coated almond stuffed khalas single,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,3,1,Dark Chocolate Coated Almond Stuffed Khalas Single,
SFG0129,Dark Chocolate Coated Cashew Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,DERIVED_INLINE,De-Seeding + Stuffing + Enrobe / Choco-Coat,dark chocolate coated cashew stuffed khalas single,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,3,1,Dark Chocolate Coated Cashew Stuffed Khalas Single,
SFG0130,Dark Chocolate Coated Macadamia · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,dark chocolate coated macadamia,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,15,1,Dark Chocolate Coated Macadamia 110g,
SFG0131,Date Balls Coated Coconut · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date balls coated coconut,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Date Balls Coated Coconut (22G X 3),
SFG0132,Date Balls Coated Dark · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date balls coated dark,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Date Balls Coated Dark (22g x 3),
SFG0133,Date Balls Coated Milk · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date balls coated milk,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Date Balls Coated Milk (22g x 3),
SFG0134,Date Balls Coated White · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date balls coated white,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Date Balls Coated White (22g x 3),
SFG0135,3pcs date balls with blister · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date balls with blister,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,3pcs date balls with blister,
SFG0136,Date Bites · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date bites,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Date Bites 9gm,
SFG0137,Date Mewa Festive Gifting & Feast Parcel · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date mewa festive gifting & feast parcel,N,,Y,sfg,kg,wip,FIFO,FESTIVE HAMPERS,7,1,Date Mewa Festive Gifting & Feast Parcel 500gm,
SFG0138,Date Mewa Ladu · WIP · BlendForm,DERIVED_INLINE,Blend & Form,date mewa ladu,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Date Mewa Ladu 18gm,
SFG0139,Dates Delight Khajur Pak · WIP · BlendForm,DERIVED_INLINE,Blend & Form,dates delight khajur pak,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Dates Delight Khajur Pak 375gm,
SFG0140,Dates Mewa Assorted · WIP · BlendForm,DERIVED_INLINE,Blend & Form,dates mewa assorted,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Dates Mewa Assorted 210gm,
SFG0141,Dates Mewa Classic · WIP · BlendForm,DERIVED_INLINE,Blend & Form,dates mewa classic,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Dates Mewa Classic 210gm,
SFG0142,Diced Almond · WIP · BlanchSlice,DERIVED_INLINE,Blanch & Slice,diced almond,N,,Y,sfg,kg,wip,FIFO,,7,1,Diced Almond,
SFG0143,Dr Batra#s Hair Health Protein Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,dr batra#s hair health protein bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Dr Batra#s Hair Health Protein Bar 35gm,
SFG0144,Dragees Dark Cranberry · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,dragees dark cranberry,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,15,1,Dragees Dark Cranberry,
SFG0145,Dragees Milk Cranberry · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,dragees milk cranberry,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,15,1,Dragees Milk Cranberry,
SFG0146,Dragees White Cranberry · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,dragees white cranberry,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,15,1,Dragees White Cranberry,
SFG0147,Drangees Dark Almond · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,drangees dark almond,N,,Y,sfg,kg,wip,FIFO,ALMOND,15,1,Drangees Dark Almond,
SFG0148,Dried Masala Mango · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,dried masala mango,N,,Y,sfg,kg,wip,FIFO,DEHYDRATED FRUITS,45,1,Dried Masala Mango,
SFG0149,Dried Masala Pineapple · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,dried masala pineapple,N,,Y,sfg,kg,wip,FIFO,DEHYDRATED FRUITS,45,1,Dried Masala Pineapple,
SFG0150,Dry Fruit · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,dry fruit,N,,Y,sfg,kg,wip,FIFO,FESTIVE HAMPERS,45,1,Dry Fruit Hamper,
SFG0151,Dryfruit instant Energy laddu Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,dryfruit instant energy laddu bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Dryfruit instant Energy laddu Bar 35gm,
SFG0152,Dryfruit Instant Energy Laddubar Bites · WIP · BlendForm,DERIVED_INLINE,Blend & Form,dryfruit instant energy laddubar bites,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Dryfruit Instant Energy Laddubar Bites 9gm,
SFG0153,Dryfruit Instant Energy LadduBar Pack of · WIP · BlendForm,DERIVED_INLINE,Blend & Form,dryfruit instant energy laddubar pack of,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Dryfruit Instant Energy LadduBar Pack of 5,
SFG0154,Energy Bar - Choco Crunch · WIP · BlendForm,DERIVED_INLINE,Blend & Form,energy bar - choco crunch,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Energy Bar - Choco Crunch 30gm,
SFG0155,Energy Bar - Fig & Dates · WIP · BlendForm,DERIVED_INLINE,Blend & Form,energy bar - fig & dates,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Energy Bar - Fig & Dates 30gm,
SFG0156,Energy Bar - Hazelnut Magic · WIP · BlendForm,DERIVED_INLINE,Blend & Form,energy bar - hazelnut magic,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Energy Bar - Hazelnut Magic 30gm,
SFG0157,Energy Bar - Oats & Apricot · WIP · BlendForm,DERIVED_INLINE,Blend & Form,energy bar - oats & apricot,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Energy Bar - Oats & Apricot 30gm,
SFG0158,Energy Bars Oats and Dates · WIP · BlendForm,DERIVED_INLINE,Blend & Form,energy bars oats and dates,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Energy Bars Oats and Dates (Pack of 6) 210gm,
SFG0159,Extra Cheese Seasoning · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,extra cheese seasoning,N,,Y,sfg,kg,wip,FIFO,TAJIR,45,1,Extra Cheese Seasoning (UNC) 1Kg,
SFG0160,Extra Cheese Seasoning Extreme · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,extra cheese seasoning extreme,N,,Y,sfg,kg,wip,FIFO,TAJIR,45,1,Extra Cheese Seasoning Extreme,
SFG0161,Extra Cheese Seasoning-UNC · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,extra cheese seasoning-unc,N,,Y,sfg,kg,wip,FIFO,TAJIR,45,2,Extra Cheese Seasoning-UNC( Malaysian) 15kg; Extra Cheese Seasoning-UNC( Malaysian) 1kg,
SFG0162,Extreme Cheese Seasoning · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,extreme cheese seasoning,N,,Y,sfg,kg,wip,FIFO,TAJIR,45,1,Extreme Cheese Seasoning( Malaysian) 1kg,
SFG0163,FABSTA CASHEWNUT BROKEN · WIP · BlanchSlice,DERIVED_INLINE,Blanch & Slice,fabsta cashewnut broken,N,,Y,sfg,kg,wip,FIFO,CASHEW,7,1,FABSTA CASHEWNUT BROKEN 200G,
SFG0164,FNP Choco Almonds · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,fnp choco almonds,N,,Y,sfg,kg,wip,FIFO,ALMOND,15,1,FNP Choco Almonds 50gm,
SFG0165,FNP Choco Berry Bites · WIP · BlendForm,DERIVED_INLINE,Blend & Form,fnp choco berry bites,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,FNP Choco Berry Bites 50gm,
SFG0166,FNP Pistachios Salted & Roasted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,fnp pistachios salted & roasted,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,FNP Pistachios Salted & Roasted 50 gm,
SFG0167,Gondh Dryfruit Laddu Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,gondh dryfruit laddu bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Gondh Dryfruit Laddu Bar 35gm,
SFG0168,Gondh Dryfruit LadduBar Pack of · WIP · BlendForm,DERIVED_INLINE,Blend & Form,gondh dryfruit laddubar pack of,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Gondh Dryfruit LadduBar Pack of 6,
SFG0169,Green Chilli Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,green chilli cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,2,Carnival Green Chilli Cashew 230g; Green Chilli Cashew Bulk,
SFG0170,Greendot Coated Peanuts · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,greendot coated peanuts,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Greendot Coated Peanuts,
SFG0171,Habit Coconut Cream Powder · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,habit coconut cream powder,N,,Y,sfg,kg,wip,FIFO,TAJIR,45,1,Habit Coconut Cream Powder 1 Kg (Instant),
SFG0172,Habit Extra Cheese Seasoning · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,habit extra cheese seasoning,N,,Y,sfg,kg,wip,FIFO,TAJIR,45,1,Habit Extra Cheese Seasoning (15kg),
SFG0173,Healing Hand Oats and Dates Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,healing hand oats and dates bar,N,,Y,sfg,kg,wip,FIFO,,7,1,Healing Hand Oats and Dates Bar,
SFG0174,HOH Panch Mewa Mix · WIP · Roast,DERIVED_INLINE,Roasting,hoh panch mewa mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,HOH Panch Mewa Mix Loose,
SFG0175,Krack Nut Coated Peanuts Magic Masala · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,krack nut coated peanuts magic masala,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Krack Nut Coated Peanuts Magic Masala 110g,
SFG0176,Krack Nut Coated Peanuts Pudina Patakha · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,krack nut coated peanuts pudina patakha,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Krack Nut Coated Peanuts Pudina Patakha 25g Not Use,Coated Peanuts Pudina Patakha Bulk
SFG0177,Lemon Pepper Cashew Bulk,EXISTING_BOM_ARTICLE,Roast & Flavour/Salt,lemon pepper cashew,Y,fg,Y,sfg,kg,wip,FIFO,CASHEW,45,2,Lemon Pepper Cashew Bulk; Tasties Lemon Pepper Cashew - Flavourful & Crunchy 75 g,
SFG0178,Mac Snack Dry Roasted Macadamias Munchies · WIP · Roast,DERIVED_INLINE,Roasting,mac snack dry roasted macadamias munchies,N,,Y,sfg,kg,wip,FIFO,,45,1,Mac Snack Dry Roasted Macadamias Munchies 200gm,
SFG0179,Mac Snack Dry Roasted Macadamias Munchies 100gm-style · WIP · Roast,DERIVED_INLINE,Roasting,mac snack dry roasted macadamias munchies -style,N,,Y,sfg,kg,wip,FIFO,,45,1,Mac Snack Dry Roasted Macadamias Munchies 100gm-style 4,
SFG0180,Mac Snack Roasted & Salted Macadamias Munchies 200gm-style · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,mac snack roasted & salted macadamias munchies -style,N,,Y,sfg,kg,wip,FIFO,,45,1,Mac Snack Roasted & Salted Macadamias Munchies 200gm-style 4,
SFG0181,Mac Snack Roasted Macadamias Munchies 100gm-style · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,mac snack roasted macadamias munchies -style,N,,Y,sfg,kg,wip,FIFO,,45,1,Mac Snack Roasted Macadamias Munchies 100gm-style 4,
SFG0182,Macadamia Roasted & Salted style · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,macadamia roasted & salted style,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Macadamia Roasted & Salted style 4,
SFG0183,Makhana Black Pepper · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,makhana black pepper,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Makhana Black Pepper,
SFG0184,Makhana Black Salt · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,makhana black salt,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Makhana Black Salt 75gm,
SFG0185,Makhana Chilli Lime · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,makhana chilli lime,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Makhana Chilli Lime 75gm,
SFG0186,Makhana Himalayan Pink Salt · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,makhana himalayan pink salt,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Makhana Himalayan Pink Salt,
SFG0187,Makhana Masala · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,makhana masala,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Makhana Masala,
SFG0188,Makhana Peri Peri · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,makhana peri peri,N,,Y,sfg,kg,wip,FIFO,MAKHANA,45,1,Makhana Peri Peri,
SFG0189,Masala Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,masala cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Masala Cashew,
SFG0190,Methi Dryfruit Laddu bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,methi dryfruit laddu bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Methi Dryfruit Laddu bar 35gm,
SFG0191,Milk Almond Draggies · WIP · Roast+Enrobe,DERIVED_INLINE,Roasting + Enrobe / Choco-Coat,milk almond draggies,N,,Y,sfg,kg,wip,FIFO,ALMOND,15,1,Milk Almond Draggies,
SFG0192,Milk Chocolate Coated Date Bites · WIP · BlendForm,DERIVED_INLINE,Blend & Form,milk chocolate coated date bites,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,Milk Chocolate Coated Date Bites,
SFG0193,Mocha Mojo Trail Mix · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,mocha mojo trail mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Mocha Mojo Trail Mix,
SFG0194,Moon Freeze Banana Date Fruit Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,moon freeze banana date fruit bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,2,Moon Freeze Banana Date Fruit Bar - 10 GM; Moon Freeze Banana Date Fruit Bar - 45 Gm,
SFG0195,Moon Freeze Mango Date Fruit Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,moon freeze mango date fruit bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,2,Moon Freeze Mango Date Fruit Bar - 10 GM; Moon Freeze Mango Date Fruit Bar - 45 Gm,
SFG0196,Moon Freeze Pineapple Date Fruit Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,moon freeze pineapple date fruit bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,2,Moon Freeze Pineapple Date Fruit Bar - 45 Gm; Moon Freeze Pineapple Date Fruit Bar -10 GM,
SFG0197,Moon Freeze Strawberry Date Fruit Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,moon freeze strawberry date fruit bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,2,Moon Freeze Strawberry Date Fruit Bar - 45 Gm; Moon Freeze Strawberry Date Fruit Bar -10 GM,
SFG0198,Natures Cashew Split · WIP · BlanchSlice,DERIVED_INLINE,Blanch & Slice,natures cashew split,N,,Y,sfg,kg,wip,FIFO,CASHEW,7,1,Natures Cashew Split 200g (1356008),
SFG0199,NATURES MACADAMIA ROASTED&SALTED · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,natures macadamia roasted&salted,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,NATURES MACADAMIA ROASTED&SALTED 100g (1443558),
SFG0200,NB BARBEQUE ALMOND · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb barbeque almond,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,NB BARBEQUE ALMOND LOOSE,
SFG0201,NB BARBEQUE CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb barbeque cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB BARBEQUE CASHEW LOOSE,Barbeque Cashew Bulk
SFG0202,NB BLACK PEPPER CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb black pepper cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB BLACK PEPPER CASHEW LOOSE,Black Pepper Cashew Bulk
SFG0203,NB CHARCOAL CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb charcoal cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB CHARCOAL CASHEW LOOSE,
SFG0204,NB CHEESE CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb cheese cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB CHEESE CASHEW LOOSE,
SFG0205,NB GREEN CHILLY CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb green chilly cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB GREEN CHILLY CASHEW LOOSE,
SFG0206,NB MASALA CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb masala cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB MASALA CASHEW LOOSE,
SFG0207,NB MASALA RAISIN · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb masala raisin,N,,Y,sfg,kg,wip,FIFO,RAISIN,45,1,NB MASALA RAISIN LOOSE,
SFG0208,NB PAAN RAISIN · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb paan raisin,N,,Y,sfg,kg,wip,FIFO,RAISIN,45,1,NB PAAN RAISIN LOOSE,
SFG0209,NB PERI-PERI CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb peri-peri cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB PERI-PERI CASHEW LOOSE,
SFG0210,NB ROASTED & SALTED ALMOND · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb roasted & salted almond,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,NB ROASTED & SALTED ALMOND LOOSE,
SFG0211,NB ROASTED & SALTED CASHEW · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb roasted & salted cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,NB ROASTED & SALTED CASHEW LOOSE,Roasted & Salted Cashew Bulk
SFG0212,NB ROASTED MACADAMIA INSHELL · WIP · Roast,DERIVED_INLINE,Roasting,nb roasted macadamia inshell,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,NB ROASTED MACADAMIA INSHELL LOOSE,
SFG0213,NB SMOKED ALMOND · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nb smoked almond,N,,Y,sfg,kg,wip,FIFO,ALMOND,45,1,NB SMOKED ALMOND LOOSE,
SFG0214,NOICE Date Bites · WIP · BlendForm,DERIVED_INLINE,Blend & Form,noice date bites,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,NOICE Date Bites (18g*5),
SFG0215,Nut Flex - Italian Herbs · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,nut flex - italian herbs,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,2,Nut Flex - Italian Herbs 33gm; Nut Flex - Italian Herbs 35gm,
SFG0216,Nuts and Cardamom Date Balls · WIP · BlendForm,DERIVED_INLINE,Blend & Form,nuts and cardamom date balls,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,7,1,Nuts and Cardamom Date Balls 48 gms,
SFG0217,Omega Mix- Lemon Pepper · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,omega mix- lemon pepper,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,Omega Mix- Lemon Pepper 35gm,
SFG0218,ON THE RUN Assorted Energy Bars · WIP · BlendForm,DERIVED_INLINE,Blend & Form,on the run assorted energy bars,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,ON THE RUN Assorted Energy Bars (Pack of 6x30g),
SFG0219,ON THE RUN Choco Crunch Energy Bars · WIP · BlendForm,DERIVED_INLINE,Blend & Form,on the run choco crunch energy bars,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,ON THE RUN Choco Crunch Energy Bars 30g,
SFG0220,On the Run Coffee Bite · WIP · BlendForm,DERIVED_INLINE,Blend & Form,on the run coffee bite,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,On the Run Coffee Bite 10g,
SFG0221,ON THE RUN Fig and Date Energy Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,on the run fig and date energy bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,2,ON THE RUN Fig and Date Energy Bar (Pack of 6x30 g); ON THE RUN Fig and Date Energy Bar 30g,
SFG0222,ON THE RUN Hazelnut Magic Energy Bar · WIP · BlendForm,DERIVED_INLINE,Blend & Form,on the run hazelnut magic energy bar,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,ON THE RUN Hazelnut Magic Energy Bar 30g,
SFG0223,"ON THE RUN Oats, Apricot & Cranberry Energy Bar · WIP · BlendForm",DERIVED_INLINE,Blend & Form,"on the run oats, apricot & cranberry energy bar",N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,1,"ON THE RUN Oats, Apricot & Cranberry Energy Bar 30g",
SFG0224,Ontherun Coffee Bite · WIP · BlendForm,DERIVED_INLINE,Blend & Form,ontherun coffee bite,N,,Y,sfg,kg,wip,FIFO,BARS & CEREALS,7,2,Ontherun Coffee Bite (Pack of 15x10g); Ontherun Coffee Bite (Pack of 6*10g),
SFG0225,Pan Cranberry · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pan cranberry,N,,Y,sfg,kg,wip,FIFO,CRANBERRY,45,1,Pan Cranberry,
SFG0226,Pan Raisin · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pan raisin,N,,Y,sfg,kg,wip,FIFO,RAISIN,45,1,Pan Raisin,
SFG0227,PEANUT BUTTER · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,peanut butter,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,PEANUT BUTTER,
SFG0228,Peanut Coated Spanish Tomato · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,peanut coated spanish tomato,N,,Y,sfg,kg,wip,FIFO,PEANUTS,45,1,Peanut Coated Spanish Tomato,
SFG0229,Pecans Roasted and Salted · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pecans roasted and salted,N,,Y,sfg,kg,wip,FIFO,PREMIUM NUTS,45,1,Pecans Roasted and Salted,
SFG0230,Peper Garlic Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,peper garlic cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Peper Garlic Cashew,
SFG0231,Pepper Cashew · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pepper cashew,N,,Y,sfg,kg,wip,FIFO,CASHEW,45,1,Pepper Cashew,Black Pepper Cashew Bulk
SFG0232,Pepper Pista · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pepper pista,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Pepper Pista 100g Pet,
SFG0233,Pepper Pista Inshell · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pepper pista inshell,N,,Y,sfg,kg,wip,FIFO,PISTA,45,1,Pepper Pista Inshell,
SFG0234,PEPPER SNACK MIX · WIP · RoastFlav,DERIVED_INLINE,Roast & Flavour/Salt,pepper snack mix,N,,Y,sfg,kg,wip,FIFO,TRAIL MIX,45,1,PEPPER SNACK MIX,
