fg_name,cycle_archetype,stage_seq,stage_bucket,stage_label,input_code,input_kind,output_code,output_kind,create_wip_operation
Roasted & Salted Almonds 140g,C: Pack of existing SFG,1,Final FG,Packing,SFG0261,SFG,FG,FG,
Roasted & Salted Almonds 75g,C: Pack of existing SFG,1,Final FG,Packing,SFG0261,SFG,FG,FG,
Roasted & Salted Almonds 90g,C: Pack of existing SFG,1,Final FG,Packing,SFG0261,SFG,FG,FG,
Roasted & Salted Almonds Bulk,D: Pack-only,1,Final FG,Sorting + Packing,RM,RM,FG,FG,
Roasted & Salted Cashew,C: Pack of existing SFG,1,Final FG,Packing,SFG0262,SFG,FG,FG,
Roasted & Salted Cashew  140g,C: Pack of existing SFG,1,Final FG,Packing,SFG0262,SFG,FG,FG,
Roasted & Salted Cashew 75gm,C: Pack of existing SFG,1,Final FG,Packing,SFG0262,SFG,FG,FG,
Roasted & Salted Cashew 90gm,C: Pack of existing SFG,1,Final FG,Packing,SFG0262,SFG,FG,FG,
Roasted & Salted Cashew Bulk,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0262,SFG,Roast & Flavour/Salt
Roasted & Salted Cashew Bulk,A: WIP producer (bulk),2,Final FG,Packing,SFG0262,SFG,FG,FG,
Roasted & Salted Pecan Nuts 75gm,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0263,SFG,Roast & Flavour/Salt
Roasted & Salted Pecan Nuts 75gm,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0263,SFG,FG,FG,
Roasted & Salted Pista 230g,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,RM,RM,SFG0264,SFG,Roast & Flavour/Salt
Roasted & Salted Pista 230g,B: Transform->Pack (in-line),2,Final FG,Packing,SFG0264,SFG,FG,FG,
Roasted Black Sesame (Kale Til) Seeds,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,RM,RM,SFG0265,SFG,Roasting
