fg_sample,base_recipe,create_wip_operation,sfg_origin,sfg_code,sfg_article,num_fgs
Stuffed Medjoul Large Pc with Almond,Stuffed Medjoul Large Pc with Almond,De-Seeding + Stuffing,DERIVED_INLINE,SFG0296,Stuffed Medjoul Large Pc with Almond · WIP · DeSeed+Stuff,1
Stuffed Medjoul Large Pc with Dried Pomelo,Stuffed Medjoul Large Pc with Dried Pomelo,De-Seeding + Stuffing,DERIVED_INLINE,SFG0297,Stuffed Medjoul Large Pc with Dried Pomelo · WIP · DeSeed+Stuff,1
Stuffed Medjoul Large Pc with Hazel Nut,Stuffed Medjoul Large Pc with Hazel Nut,De-Seeding + Stuffing,DERIVED_INLINE,SFG0298,Stuffed Medjoul Large Pc with Hazel Nut · WIP · DeSeed+Stuff,1
Stuffed Medjoul Large Pc with Macadamia,Stuffed Medjoul Large Pc with Macadamia,De-Seeding + Stuffing,DERIVED_INLINE,SFG0299,Stuffed Medjoul Large Pc with Macadamia · WIP · DeSeed+Stuff,1
Stuffed Medjoul Large Pc with Orange Peel,Stuffed Medjoul Large Pc with Orange Peel,De-Seeding + Stuffing,DERIVED_INLINE,SFG0300,Stuffed Medjoul Large Pc with Orange Peel · WIP · DeSeed+Stuff,1
Stuffed Medjoul Large Pc with Pecan Nut,Stuffed Medjoul Large Pc with Pecan Nut,De-Seeding + Stuffing,DERIVED_INLINE,SFG0301,Stuffed Medjoul Large Pc with Pecan Nut · WIP · DeSeed+Stuff,1
Stuffed Medjoul Large Pc with Pista,Stuffed Medjoul Large Pc with Pista,De-Seeding + Stuffing,DERIVED_INLINE,SFG0302,Stuffed Medjoul Large Pc with Pista · WIP · DeSeed+Stuff,1
Sunflower Seed 100g (B07GR6G24J) FBA,Sunflower Seed,Roasting,DERIVED_INLINE,SFG0303,Sunflower Seed · WIP · Roast,1
Sunflower Seeds Roasted,Sunflower Seeds Roasted,Roasting,DERIVED_INLINE,SFG0304,Sunflower Seeds Roasted · WIP · Roast,1
Sunflower Seeds Roasted and Salted,Sunflower Seeds Roasted and Salted,Roast & Flavour/Salt,DERIVED_INLINE,SFG0305,Sunflower Seeds Roasted and Salted · WIP · RoastFlav,1
"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy 25 g","Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy",Roast & Flavour/Salt,DERIVED_INLINE,SFG0306,"Tasties Coated Peanuts - Tandoori Masala, Flavourful & Crispy · WIP · RoastFlav",1
"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy 25 g","Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy",Roast & Flavour/Salt,DERIVED_INLINE,SFG0307,"Tasties Coated Peanuts - Thai Spice, Flavourful & Crispy · WIP · RoastFlav",1
Trail Mix / Trail Mix Bulk,Trail Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0308,Trail Mix · WIP · RoastFlav,2
Trail Mix - Every Health,Trail Mix - Every Health,Roast & Flavour/Salt,DERIVED_INLINE,SFG0309,Trail Mix - Every Health · WIP · RoastFlav,1
Urban Platter Almond Blueberry Bar 45g,Urban Platter Almond Blueberry Bar,Blend & Form,DERIVED_INLINE,SFG0310,Urban Platter Almond Blueberry Bar · WIP · BlendForm,1
Urban Platter Chocolate Vanilla Bar 45g,Urban Platter Chocolate Vanilla Bar,Blend & Form,DERIVED_INLINE,SFG0311,Urban Platter Chocolate Vanilla Bar · WIP · BlendForm,1
Urban Platter Cranberry Orange Bar 45g,Urban Platter Cranberry Orange Bar,Blend & Form,DERIVED_INLINE,SFG0312,Urban Platter Cranberry Orange Bar · WIP · BlendForm,1
Urban Platter Mocha Bar 45g,Urban Platter Mocha Bar,Blend & Form,DERIVED_INLINE,SFG0313,Urban Platter Mocha Bar · WIP · BlendForm,1
Vedaka Broken Cashew 1kg (B0D9NZYHDC),Vedaka Broken Cashew,Blanch & Slice,DERIVED_INLINE,SFG0314,Vedaka Broken Cashew · WIP · BlanchSlice,1
Vedaka Cashews - Broken 500g (B0D9NYHTG1),Vedaka Cashews - Broken,Blanch & Slice,DERIVED_INLINE,SFG0315,Vedaka Cashews - Broken · WIP · BlanchSlice,1
Vedaka Healthy Seed Mix 200gm(B0B69L57PV),Vedaka Healthy Seed Mix,Roast & Flavour/Salt,DERIVED_INLINE,SFG0316,Vedaka Healthy Seed Mix · WIP · RoastFlav,1
Vedaka Popular Cashew Broken 100g FBA(B07GR3S1RL) / Vedaka Popular Cashew Broken 200g FBA(B07GQWS1BS),Vedaka Popular Cashew Broken,Blanch & Slice,DERIVED_INLINE,SFG0317,Vedaka Popular Cashew Broken · WIP · BlanchSlice,2
Vedaka Premium Flavored Dry Fruits 500 gm Gift Box (B0CGVC7DF2),Vedaka Premium Flavored Dry Fruits,Roast & Flavour/Salt,DERIVED_INLINE,SFG0318,Vedaka Premium Flavored Dry Fruits · WIP · RoastFlav,1
Vedaka Premium Sunflower Seeds 500g (B07GR2G67L),Vedaka Premium Sunflower Seeds,Roasting,DERIVED_INLINE,SFG0319,Vedaka Premium Sunflower Seeds · WIP · Roast,1
Vedaka Salted Peanuts - 200g (B0CZ9GZ9F2) / Vedaka Salted Peanuts 200 gm (102219262),Vedaka Salted Peanuts,Roast & Flavour/Salt,DERIVED_INLINE,SFG0320,Vedaka Salted Peanuts · WIP · RoastFlav,2
Walnut Flavoured Salt & Pepper (Quarters) Loose,Walnut Flavoured Salt & Pepper,Roast & Flavour/Salt,DERIVED_INLINE,SFG0321,Walnut Flavoured Salt & Pepper · WIP · RoastFlav,1
Watermelon Seeds Roasted,Watermelon Seeds Roasted,Roasting,DERIVED_INLINE,SFG0322,Watermelon Seeds Roasted · WIP · Roast,1
White Almond Draggies,White Almond Draggies,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,SFG0323,White Almond Draggies · WIP · Roast+Enrobe,1
Wholesome millet laddu bar 35gm,Wholesome millet laddu bar,Blend & Form,DERIVED_INLINE,SFG0324,Wholesome millet laddu bar · WIP · BlendForm,1
YUMASANA COATED PEANUTS - BARB EQUE 150g,YUMASANA COATED PEANUTS - BARB EQUE,Roast & Flavour/Salt,DERIVED_INLINE,SFG0325,YUMASANA COATED PEANUTS - BARB EQUE · WIP · RoastFlav,1
YUMASANA COATED PEANUTS - CHILLI GARLIC 150g,YUMASANA COATED PEANUTS - CHILLI GARLIC,Roast & Flavour/Salt,DERIVED_INLINE,SFG0326,YUMASANA COATED PEANUTS - CHILLI GARLIC · WIP · RoastFlav,1
YUMASANA COATED PEANUTS - PERI PERI 150g,YUMASANA COATED PEANUTS - PERI PERI,Roast & Flavour/Salt,DERIVED_INLINE,SFG0327,YUMASANA COATED PEANUTS - PERI PERI · WIP · RoastFlav,1
YUMASANA COATED PEANUTS - THAI CHILLI 150g,YUMASANA COATED PEANUTS - THAI CHILLI,Roast & Flavour/Salt,DERIVED_INLINE,SFG0328,YUMASANA COATED PEANUTS - THAI CHILLI · WIP · RoastFlav,1
Zorro Maple Glazed Pecans 100g,Zorro Maple Glazed Pecans,Roast & Flavour/Salt,DERIVED_INLINE,SFG0329,Zorro Maple Glazed Pecans · WIP · RoastFlav,1
Zorro Pecan Grain Free Granola 100g,Zorro Pecan Grain Free Granola,Roast & Flavour/Salt,DERIVED_INLINE,SFG0330,Zorro Pecan Grain Free Granola · WIP · RoastFlav,1
Zorro Roasted & Lightly Salted Pecans 100g,Zorro Roasted & Lightly Salted Pecans,Roast & Flavour/Salt,DERIVED_INLINE,SFG0331,Zorro Roasted & Lightly Salted Pecans · WIP · RoastFlav,1
Zorro Sweet & Spicy Pecan 100g,Zorro Sweet & Spicy Pe,Roast & Flavour/Salt,DERIVED_INLINE,SFG0332,Zorro Sweet & Spicy Pe · WIP · RoastFlav,1
