article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
Al Barakah Fard Dates 400g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
AL BARAKAH FARD DATES D 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Fard Dates Premium,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH FARD DATES PREMIUM - 10KG,rm,,,Y,Y,rm,cfpl,,n/a,,,
AL BARAKAH FARD DATES PREMIUM - 500g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
AL BARAKAH FARD DATES PREMIUM AB 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Fard Dates Seedless,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH FARD DATES STANDARD,rm,,,Y,Y,rm,cfpl+cdpl,,n/a,,,
AL BARAKAH FARD DATES STANDARD A 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH FARD DATES STANDARD C 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH GOLDEN DATE SYRUP 250Gx12,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH GOLDEN DATE SYRUP 25KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Gulf Dates 250gm,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH KHALAS DATES,rm,,,Y,Y,rm,cfpl+cdpl,,n/a,,,
AL BARAKAH KHALAS DATES -SA,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH KHALAS DATES 1KG,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Khalas Dates 400g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
AL BARAKAH KHALAS DATES 500 Gm,fg,Y,Y,,Y,fg,cfpl+cdpl,Sorting + Packaging,routed,,,
AL BARAKAH KHALAS DATES PREMIUM (S),rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH KHALAS DATES SEEDLESS 350GM,fg,Y,Y,,Y,fg,cfpl,De-seeding + Packaging,routed,,,
AL BARAKAH KHALAS DATES THERMO 250G PACK (Arbian),fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH KHALAS DATES-AFCTN,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH KHALAS PREMIUM DATES,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH KHALAS SEEDLESS DATES 500 Gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH KHANEIZI DATES 10 KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH KHANEIZI DATES 10 KG -EZAD,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Khanezi Dates,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Khanezi Dates 500 GM,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Khanezi Dates 500gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH KHANIZEE DATES,rm,,,,Y,rm,cfpl,,n/a,,,
AL BARAKAH KHANIZEE DATES 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Khenaizi Dates 400g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Kimia Dates 500 Gm,fg,Y,Y,Y,Y,fg,cfpl+cdpl,Sorting + Packaging,routed,Y,,MULTILEVEL_SFG (component+has-BOM); SFG_NOT_IN_WIP_SET
AL BARAKAH LULU BLACK DATES-10KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH LULU RED DATES,rm,,,,Y,rm,cfpl,,n/a,,,
AL BARAKAH LULU RED DATES - 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH MARYAM DATES 5 KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH MEDJOOL DATES PREMIUM 5KG,rm,,,,Y,rm,cdpl,,n/a,,,
AL BARAKAH MEDJOOL WET DATES PREMIUM,rm,,,Y,Y,rm,cfpl,,n/a,,,
Al Barakah Medjoul Dates 500Gm,fg,Y,Y,,Y,fg,cfpl+cdpl,Sorting + Packaging,routed,,,
AL BARAKAH NAGHAL BLACK DATES - 10KG,rm,,,,Y,rm,cdpl,,n/a,,,
Al Barakah Oman 600g,fg,,Y,,Y,fg,cfpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Oman Dates 400g,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Oman Dates 500gm Tub,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
Al Barakah Organic Date Syrup 470gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH PREMIUM ARABIAN DATES 500G,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Premium Emirate Date Seedless (500gmx16),fg,,Y,,Y,fg,cfpl+cdpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Premium Emirate Date Seedless 500gm,fg,,,,Y,fg,cfpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Premium Emirates Dates (500gm x 16 Nos),fg,,Y,,Y,fg,cfpl+cdpl,,"MISSING (has BOM recipe, not in FG Master)",,,BOM_PARENT_NO_ROUTING; CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Premium Emirates Dates 250g,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
AL BARAKAH PREMIUM EMIRATES DATES 500G.,fg,,,Y,Y,fg,cfpl+cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
Al Barakah Premium Medjool 800gm,fg,Y,Y,,Y,fg,cfpl,Sorting + Packaging,routed,,,
AL BARAKAH PREMIUM SEEDLESS DATES 500G,fg,Y,Y,,Y,fg,cfpl,De-seeding + Packaging,routed,,,
Al Barakah Premium Seedless Dates 500gm,fg,,,,Y,fg,cdpl,,n/a,,,CATALOG_FG_NOT_IN_FG_MASTER
