article,derived_type,in_fg_master,in_bom_parent,in_bom_component,in_all_sku,catalog_type,catalog_entity,process_category,routing_status,is_multilevel_sfg,in_wip_set,gap_flags
PM24-3 Ply Carton CF04 Medju0l 500gm 8 Kg (385X285X230mm)-Printed,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Printed,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm-Printed,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton CF26 10 Kg (390x290x235mm) DMART-Unprinted,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton CF27 (445x278x174mm) Royal Delight -Unprinted,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton D Mart 5 Case Pack Krack Nut Carton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton Flower Hamper Inner,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton Flower Hamper Outer,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton for Small Glass Bottle with Partion 12 x 8 x 5 mm 3000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton Karmiq Seed Outer Carton 5000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton Kracknut 10000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton Partition for 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 ply Carton Tasties 12.5 x 6.75 x 8.5 mm (for monocarton),pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton Vedaka Yellow Hamper 10000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Carton-All Purpose,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Cartons Reliance PGP For 500 gm Glass Jar (366x244x163mm),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply CF Carton CF02 Medjoul 1 Kg 390x300x170mm 8Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply CF Carton CF25 Raisin,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply CF05 Al Barakah Fard Dates Carton 10Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 ply Curate Carton (C21)Printed 15 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Curate Carton 10 Kg (CF24) Printed,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply D Mart Carton 5 Case Pack Kracknut Carton (432x330x165mm) 15 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply D Mart Carton Premia Party Mix 10000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply D Mart Carton Premia Pouch 100 gm 10 Kg (482X350X184MM OD),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Del Monte Carton Arabian Dates Plain With Partition (for 500 gm) 10000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Del Monte Carton  Arabian Dates Printed With Partition (500 gm) 10000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply DelMonte Carton Arabian Dates Printed With Partition (for 500 gm) 10000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Carton 1000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Carton 18 x 16 x 14 cm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Carton 3 Ply Date Syrup 18 x 16 x 14 cm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Carton Khalas 1000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Carton NC05 Plain 500 gm 9.4 x4.5 x4.5,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Carton Pista 800 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Hamper Carton 11 x 8.25 x 4.5 cm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Ecom Kimia Dates Carton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Habit Carton Printed 10 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Habit Carton Unprinted 10 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Habit Carton Unprinted 15 kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Kimia Carton Dates,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Krack Nut Monocarton Carton 10 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Rajat Carton 20kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3 Ply Snactac Carton 10000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-300 Dia Two Pc Tin Cans With Easy Peei Off + Plastic Lid 50 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-32x48 PP Polythene Liner Bag 50 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-350 Ml Bottle Matki 350 ml,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-350 Pet Top Silver With Lid 150 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-38x38 Label,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3D Transparent Pouch 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3Ply American pecan carton with partition-CF02,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3ply Carton Royal Traditions Snack Mix Chapata 2.4kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-3ply Carton Royal Traditions Snack Mix Masala Magic 2.4kg,pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-40 Mic Preformed Heat Shrinkable Pvc Seal For Square Boxes (6""x6"") 3000 gm",pm,,,,Y,pm,cfpl,,n/a,,,
PM24-48x31 White Liner Bag,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-48x32 PP Polythene Liner Bag 5 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Grain Cereal Granola (Standy Pouch) 300 gm Digital Dark Chocolate,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Grain Cereal Original (Standy Pouch) 300 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-5 Grain Cereal Printed Cup Pp, 5 Grain Cereal 50G-Original 50 gm",pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-5 Grain Choclate Cereal Printed Cup Pp, 5 Grain Cereal 50G-Dark Chocolate 50 gm",pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Kg Printed LD Pouch (14.25x18x325) 5 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Partition Season Greeting Corrogation Box Big Red 800 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carnival Carton Ajwa(blister) 5 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carnival Carton Ajwa(blister) 5kg &Parti,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton 530 X300 X275ID,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Al Barakah Date Powder,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Al Barakah Dates (430x283x137mm) Yellow 10 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Blissful,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Blueberry & Cranberry Pouch 5 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton CF24 10kg (390X290X220) (D Mart)-Unprinted,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Golden Carnival (460x295x235mm) 15 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Good Life Chia Seeds 3 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Good Life Dates 15000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Good Life Other Seeds 3 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Nutraj Master Carton (460x360x195MM),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Seeds Pouch 5 Kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton Silver Carnival (460x295x235mm)-15 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Carton-All Purpose,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply CF Carton CF29 (455x345x170mm)-White 10 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Del Monte Carton  Prunes 380 x 240 x 170mm 10000 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton (3P)  Hardik,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton (4P),pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton 5Pet Hamper,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Celebration,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Mayur Ratna Big,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Mayur Ratna Small,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton NWF 4P,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton NWF 6P,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Royal Divine,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Sahi Upahar (Walmart),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Utsav (Walmart),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Vedaka Common,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5 Ply Diwali Carton Vedaka Rangoli,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-500 Gm Blister Top/Bottom 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-500 Ml Oval Transparent Container With Lid-Dates 350/400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-500 Ml Sqaure Pet-73 mm Neck With Trans Cap & Wad Square Bottle 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-50mm x 25mm 2AC Chromo Label 300 mt,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5PLY Cafe Coffe Day Carton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5ply Carton D mart Premia Almond Salted 2.4kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Carton D mart Premia Almond Smokes  2.4kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Carton D mart Premia Cashew Black Pepper 2.4kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Carton D mart Premia Cashew Salted 2.4kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Carton D mart Premia Cranberries Chatpata 2.4kg,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Carton D mart Qwik Snack Almonds Cashews Mix,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Carton D mart Qwik Snack Cranberry Chatpata,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5Ply CF Carton CF31 10 Kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5ply Diwali Carton Supreme 579x470x318 (8000gm),pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Diwali Greetings Carton (6P-610x430x275 mm) 6720 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5Ply Diwali Magic Movement HOH (4P),pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5Ply Diwali Mahotsav HOH (4P),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5ply Diwali Moment Carton (3M-435x365x315 mm) 4800gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5Ply Diwali Shubhkamnaye HOH (3P),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5ply Diwali Shubkamnaye Carton (2P- 370x305x215) 3600 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Diwali Signature Carton M4,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-5ply Diwali Signature Carton M4 5PLY (466 x 426 x 294),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-5ply Diwali Uphar Carton,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-600Ml Tub With Container Lid And Handle 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-63 mm Golden Cap 350 ml,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-7 Ply Carton Case Pack 10 box of Energy Bar,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-70 mm x30 mm Matt Inkjet,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-700 Ml Round Pet-73 mm Neck-With Trans Cap & Wad Square Bottle 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-70mm x 80mm x 1 Ac Chromo Labels 500 Per Label Roll 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-8 Dates Printed Box 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-82 mm RO Caps Reliance PGP 500 gm aluminum,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-83mm Round Pet Jar 1100 ml Cap Pet With Wad 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Abjosh Manuka Pouch 100 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Acrylic Stand For Display 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Ahlan Dark Chocolate Dates Pouch 13 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Ahlan Milk Chocolate Dates Pouch 13 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Ahlan White Chocolate Dates Pouch 13 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Airbag Bubble Roll,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Airbag Pillow 200mm 50 Gsm 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Airbag Pillow 400mm 70 Gsm 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Ajfan Barbeque Trail Mix Nuts Composite Tin 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Ajfan Caramel & Himayan Salted Trail Mix Nuts Composite Tin 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Ajfan Premium Kimia Dates-500Gm 700 Ml Rct Tub With Purple Lid Transparent 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Ajfan Roasted & Salted Trail Mix Nuts Composite Tin 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah (Seeded) Kalmi Dates Top 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Ajwa Dates 400 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Ajwa Dates Pouch-190mm x 115 mm-Sample Pouch 50 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Date Delights Classic (Cardamom Flavour) Monocarton 210 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Date Powder Pouch 250gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Dates Bottom Printed 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Dates Bottom Printed 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Fard Dates Pouch (185 x 235 mm) 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Fard Delight Dates 500 gm Pouch Digital,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Golden Date Pouch 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Khalas Dates 500 gm Pouch Digital,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Khalas Dates Pouch (185 x 235 mm) 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Khalas Dates Pouch-Sample Pouch 30 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Khneize Dates Pouch-(185 x 235 mm) 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Khneize Dates Pouch-3 Dates-190mm x 115 mm-Sample Pouch 50 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Kimia Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Kimia Dates Tub 700Ml-Square Container (Halal Logo) 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Kimia Dates Tub 700Ml-Square Container 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Mabroom Dates 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al barakah Medjoul Dates Top 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Oman Date Pouch 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Oman Dates Pouch 1kg,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-AL Barakah Premium Seedless Dates Pouch 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Safawi Dates Pouch 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Safawi Dates-Sample Pouch 30 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Seedless Kalmi Dates 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Seedless Mabroom Dates 400 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakah Seedless Safawi Dates 400 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Al Barakakh Kimia Dates 500 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Al Barakha Arabian Dates Pouch 400gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-All is Well Choco Crunch 180 gm Monocarton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All is Well Choco Crunch Bar 30 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All Is Well Coffee Bites 10 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All Is Well Coffee Bites 60 gm Triangular Monocarton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All is Well Fig And Dates 180 gm Monocarton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All is Well Fig And Dates Bar 30 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All Is Well Hazelnut 180 gm Monocarton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All Is Well Hazelnut Bar 30 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All is Well Oats And Aprictos 180 gm Monocarton,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-All is Well Oats And Aprictos Bar 30 gm Pouch Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Alpina Bbq Peanut Pouch 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Alpina Honey Peanut Pouch 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Aluminum Seal Big 430 ml,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Aluminum Seal Big 800 ml,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Aluminum Seal Small 180 gm,pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-Amazon Brand-Kitchen Cheer Nuts, Berries And Seed Mix | 200G Pouch",pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-Amazon Brand-Kitchen Cheer Nuts, Berries Mix | 200G Pouch",pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-Amazon Brand-Kitchen Cheer Nuts, Dry Fruit Nut Mix | 200G Pouch",pm,,,,Y,pm,cfpl,,n/a,,,
"PM24-Amazon Brand-Kitchen Cheer Nuts, Seed Mix | 200G Pouch",pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Amazon Prime BOPP Tape (72 mm x 65 mtr) 42 Mic - New,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Amery Dates Carton Label 8000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Anjeer 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Anjeer 300 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Anjeer Large Premium 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Anjeer Monocarton (Cred) 200 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Anjeer Monocarton 100 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Apollo Standy Dates Pouch 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Apricot Bottom 250 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Ajwa Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Ameri Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Deglet Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Fardh Dates 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Khidri Dates 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Mabroom Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Mazafati Dates 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Rabia Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Safavi Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Segai Dates 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Arabian Dates Sukkari Dates Top 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Australia Macadamia Dark Chocolate Clusters  Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Australia Macadamia Honey Roast Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Australia Macadamia Milk Chocolate Clusters  Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Australia Macadamia Sweet Chilli  Pouch,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Azmah Pouch 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Azmah Pouches 500 gm (BOP Khandar),pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Bag 12/19/30 x 350 Plastic Bags Plain / Printed 350 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Bamboo Tongs 5 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS Choco Crunch Bar Pouch 30 gm Digital,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BAPS Choco Crunch Energy Bar Monocarton 180 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS Fig And Date Bar Pouch 30 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS Fig And Date Energy Bar Monocarton 180 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BAPS Fig And Date Energy Bar Pouch 30 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BAPS Hazelnut Magic Bar Pouch 30 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS Hazelnut Magic Energy Bar Monocarton 180 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS Oats & Apricot Energy Bar Monocarton 180 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS Oats And Apricot Bar Pouch 30 gm Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS-Choco Crunch Energy Bar Pouch 30 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Baps-Choco Crunch-Roll Digital,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BAPS-Hazelnut Magic Energy Bar Pouch 30 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BAPS-Oats And Apricot Energy Bar Pouch 30 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Bar Candor Roll,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Ajwa Dates 250 gm Tub,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Ajwa Dates Back Label 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Ajwa Dates Tub 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Black Carton Label 8000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Black Currant Label 100 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Black Currant Label 250 gm F800 /B930 /R770,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Blue Carton Label 8000 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Blueberris Label 100 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Blueberry Set Label 250 gm F4000 /B2300 /R3100,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Mazafati Dates 250 gm Tub,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Bb Royal Mazafati Dates Tub 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Mazafati Dates Tub 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Medjool Dates Front Label 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Bb Royal Medjool Dates Tub 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Medjool Dates Tub 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Omani Dates Tub 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Omani Dates Tub 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Safavi Dates Front Label 500 gm,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Safavi Dates Tub 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-BB Royal Safavi Dates Tub 500 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
PM24-Best Farms 100G Pouch -DF-1,pm,,,,Y,pm,cfpl,,n/a,,,
PM24-Big Basket-Red Dates Pouch 250 gm,pm,,,Y,Y,pm,cfpl,,n/a,,,
