fg_name,cycle_archetype,final_stage_label,input_code,input_sfg_article,input_kind
Carnival Peri Peri Cashew 200gm,C: Pack of existing SFG,Packing,SFG0235,Peri Peri Cashew Bulk,SFG
Carnival Peri Peri Makhana 125g,B: Transform->Pack (in-line),Packing,SFG0079,Carnival Peri Peri Makhana · WIP · RoastFlav,SFG
Carnival Peri Peri Makhana 55g,B: Transform->Pack (in-line),Packing,SFG0079,Carnival Peri Peri Makhana · WIP · RoastFlav,SFG
Carnival Peri Peri Walnut 150g,B: Transform->Pack (in-line),Packing,SFG0080,Carnival Peri Peri Walnut · WIP · RoastFlav,SFG
Carnival Pine Nut 100 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Pitted Prunes 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Popcorn Makhana 125g,B: Transform->Pack (in-line),Packing,SFG0081,Carnival Popcorn Makhana · WIP · RoastFlav,SFG
Carnival Popcorn Makhana 55gm,B: Transform->Pack (in-line),Packing,SFG0081,Carnival Popcorn Makhana · WIP · RoastFlav,SFG
"Carnival Premium Brazil Nuts, 250 Gms",D: Pack-only,Sorting + Packing,RM,,RM
Carnival Premium Cocktail Mix 100g,B: Transform->Pack (in-line),Packing,SFG0082,Carnival Premium Cocktail Mix · WIP · RoastFlav,SFG
Carnival Premium Cocktail Mix 250 Gms,B: Transform->Pack (in-line),Packing,SFG0082,Carnival Premium Cocktail Mix · WIP · RoastFlav,SFG
Carnival Premium Kesar 0.5 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Premium Macadamia Nut 250 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Premium Pecan Nuts 200g Mono Carton,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Premium Pecan Nuts 250 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Premium Walnut Kernels 250 Gms,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Pudina Almonds 125g,B: Transform->Pack (in-line),Packing,SFG0083,Carnival Pudina Almonds · WIP · RoastFlav,SFG
Carnival Pudina Makhana 125 Gm,B: Transform->Pack (in-line),Packing,SFG0084,Carnival Pudina Makhana · WIP · RoastFlav,SFG
Carnival Raisin Black Seeded 250gm,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Raisins Black Chatpata 200g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Roasted & Salted Almonds 100g,B: Transform->Pack (in-line),Packing,SFG0085,Carnival Roasted & Salted Almonds · WIP · RoastFlav,SFG
Carnival Roasted & Salted Almonds 230g,B: Transform->Pack (in-line),Packing,SFG0085,Carnival Roasted & Salted Almonds · WIP · RoastFlav,SFG
Carnival Roasted & Salted Almonds 250g,B: Transform->Pack (in-line),Packing,SFG0085,Carnival Roasted & Salted Almonds · WIP · RoastFlav,SFG
Carnival Roasted & Salted Cashew 100g,B: Transform->Pack (in-line),Packing,SFG0086,Carnival Roasted & Salted Cashew · WIP · RoastFlav,SFG
Carnival Roasted & Salted Cashew 230g,B: Transform->Pack (in-line),Packing,SFG0086,Carnival Roasted & Salted Cashew · WIP · RoastFlav,SFG
Carnival Roasted & Salted Pistachio 100g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Roasted & Salted Pistachio 200g,B: Transform->Pack (in-line),Packing,SFG0087,Carnival Roasted & Salted Pistachio · WIP · RoastFlav,SFG
Carnival Roasted & Salted Pistachio 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Roasted Macadamia Nuts 250g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Salt & Pepper Walnut 150g,B: Transform->Pack (in-line),Packing,SFG0088,Carnival Salt & Pepper Walnut · WIP · RoastFlav,SFG
Carnival Salted Caramel Pecannuts 80g,B: Transform->Pack (in-line),Packing,SFG0089,Carnival Salted Caramel Pecannuts · WIP · RoastFlav,SFG
Carnival Shubhakamnayein 3P 300g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Simply Thandai 100g,B: Transform->Pack (in-line),Packing,SFG0090,Carnival Simply Thandai · WIP · RoastFlav,SFG
Carnival Simply Thandai Mix 200gm,B: Transform->Pack (in-line),Packing,SFG0091,Carnival Simply Thandai Mix · WIP · RoastFlav,SFG
Carnival Smoked Almonds 100gm,B: Transform->Pack (in-line),Packing,SFG0092,Carnival Smoked Almonds · WIP · RoastFlav,SFG
Carnival Smoked Almonds 200g,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Spanish Tomato Cashew 100G,D: Pack-only,Sorting + Packing,RM,,RM
Carnival Walnut Kernal 2pc 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Cashew 100g (B07GQZSS49) FBA,D: Pack-only,Sorting + Packing,RM,,RM
Cashew 180,D: Pack-only,Sorting + Packing,RM,,RM
Cashew 230gm,D: Pack-only,Sorting + Packing,RM,,RM
Cashew 240,D: Pack-only,Sorting + Packing,RM,,RM
Cashew 240 230g,D: Pack-only,Sorting + Packing,RM,,RM
Cashew 320,D: Pack-only,Sorting + Packing,RM,,RM
Cashew 500g (B07GQW1HHN),D: Pack-only,Sorting + Packing,RM,,RM
Cashew Jumbo with Skin Roasted and Salted,B: Transform->Pack (in-line),Packing,SFG0093,Cashew Jumbo with Skin Roasted and Salted · WIP · RoastFlav,SFG
Cashew Masala,B: Transform->Pack (in-line),Packing,SFG0094,Cashew Masala · WIP · RoastFlav,SFG
Cashew Pink salt,B: Transform->Pack (in-line),Packing,SFG0095,Cashew Pink salt · WIP · RoastFlav,SFG
Cashew Roasted,D: Pack-only,Sorting + Packing,RM,,RM
Cashew Wasabi,D: Pack-only,Sorting + Packing,RM,,RM
Celebration Sleek Box 200g,D: Pack-only,Sorting + Packing,RM,,RM
Celebration Sleek Box Hamper 01,D: Pack-only,Sorting + Packing,RM,,RM
Celebration Sleek Box Hamper 02,D: Pack-only,Sorting + Packing,RM,,RM
Chatpata Black Raisin,B: Transform->Pack (in-line),Packing,SFG0097,Chatpata Black Raisin · WIP · RoastFlav,SFG
Chatpata Cranberry,D: Pack-only,Sorting + Packing,RM,,RM
Chatpata Cranberry 75gm,D: Pack-only,Sorting + Packing,RM,,RM
Chatpata Seasoning,B: Transform->Pack (in-line),Packing,SFG0098,Chatpata Seasoning · WIP · RoastFlav,SFG
Cheese Cashew,B: Transform->Pack (in-line),Packing,SFG0100,Cheese Cashew · WIP · RoastFlav,SFG
Cheese Makhana,B: Transform->Pack (in-line),Packing,SFG0101,Cheese Makhana · WIP · RoastFlav,SFG
Chia Seeds 100G (B07GQZCP91),D: Pack-only,Sorting + Packing,RM,,RM
Chia Seeds 200G (B07GQQLZPD),D: Pack-only,Sorting + Packing,RM,,RM
Chia Seeds 500G (B07GQZSJFH),D: Pack-only,Sorting + Packing,RM,,RM
Chilean  Walnut Kernel 2pc 230g,D: Pack-only,Sorting + Packing,RM,,RM
Chilean Walnut Kernel 2 pcs,D: Pack-only,Sorting + Packing,RM,,RM
Chilean Walnut Kernel Quarter,A: WIP producer (bulk),Packing,SFG0333,Chilean Walnut Kernel Quarter,SFG
Chilean Walnut Kernel Quarter BBQ,B: Transform->Pack (in-line),Packing,SFG0102,Chilean Walnut Kernel Quarter BBQ · WIP · RoastFlav,SFG
Chilean Walnut Kernel Quarter caramel,B: Transform->Pack (in-line),Packing,SFG0103,Chilean Walnut Kernel Quarter caramel · WIP · RoastFlav,SFG
Chilean Walnut Kernel Quarter lemon pepper,B: Transform->Pack (in-line),Packing,SFG0104,Chilean Walnut Kernel Quarter lemon pepper · WIP · RoastFlav,SFG
Chilean Walnut Kernel Quarter pepper,B: Transform->Pack (in-line),Packing,SFG0105,Chilean Walnut Kernel Quarter pepper · WIP · RoastFlav,SFG
Chilean Walnut Kernel Quarter peri peri,B: Transform->Pack (in-line),Packing,SFG0106,Chilean Walnut Kernel Quarter peri peri · WIP · RoastFlav,SFG
Chilli Almonds Bulk,D: Pack-only,Sorting + Packing,RM,,RM
Chilli Garlic Cashew Bulk,D: Pack-only,Sorting + Packing,RM,,RM
Chilli Garlic Masala Seasoning,B: Transform->Pack (in-line),Packing,SFG0107,Chilli Garlic Masala Seasoning · WIP · RoastFlav,SFG
Chipotle Honey Coated Peanuts 200g,B: Transform->Pack (in-line),Packing,SFG0108,Chipotle Honey Coated Peanuts · WIP · RoastFlav,SFG
Chipotle Honey Coated Peanuts 70gm,B: Transform->Pack (in-line),Packing,SFG0108,Chipotle Honey Coated Peanuts · WIP · RoastFlav,SFG
Choco Crunch Energy Bar 38gm,B: Transform->Pack (in-line),Packing,SFG0109,Choco Crunch Energy Bar · WIP · BlendForm,SFG
Chocolate Coated Almond Dragees 50gm,B: Transform->Pack (in-line),Packing,SFG0110,Chocolate Coated Almond Dragees · WIP · Roast+Enrobe,SFG
Chocolate Coated Blueberries Dragees 50gm,B: Transform->Pack (in-line),Packing,SFG0111,Chocolate Coated Blueberries Dragees · WIP · Roast+Enrobe,SFG
Classic Flavour Date Mewa 18gm,B: Transform->Pack (in-line),Packing,SFG0112,Classic Flavour Date Mewa · WIP · BlendForm,SFG
Coated Peanuts,B: Transform->Pack (in-line),Packing,SFG0113,Coated Peanuts · WIP · RoastFlav,SFG
Coated Peanuts - Magic Masala 1Kg,B: Transform->Pack (in-line),Packing,SFG0114,Coated Peanuts - Magic Masala · WIP · RoastFlav,SFG
Cocktail Mix,B: Transform->Pack (in-line),Packing,SFG0115,Cocktail Mix · WIP · RoastFlav,SFG
Cocktail Mix 230g,B: Transform->Pack (in-line),Packing,SFG0115,Cocktail Mix · WIP · RoastFlav,SFG
Cocoa Peanut Date Balls 48 gms,B: Transform->Pack (in-line),Packing,SFG0116,Cocoa Peanut Date Balls · WIP · BlendForm,SFG
Coconut Laddubar Mini 9g,B: Transform->Pack (in-line),Packing,SFG0117,Coconut Laddubar Mini · WIP · BlendForm,SFG
Coffee Laddoo 18gm,B: Transform->Pack (in-line),Packing,SFG0118,Coffee Laddoo · WIP · BlendForm,SFG
Coffee Laddoo Semi Finished,B: Transform->Pack (in-line),Packing,SFG0119,Coffee Laddoo Semi Finished · WIP · BlendForm,SFG
Cranberry Date Balls 48 gms,B: Transform->Pack (in-line),Packing,SFG0120,Cranberry Date Balls · WIP · BlendForm,SFG
Cranberry Whole 230g,D: Pack-only,Sorting + Packing,RM,,RM
Crunchy Caramel Trail Mix,B: Transform->Pack (in-line),Packing,SFG0121,Crunchy Caramel Trail Mix · WIP · RoastFlav,SFG
Crunchy Caramel Trail Mix 230g,B: Transform->Pack (in-line),Packing,SFG0121,Crunchy Caramel Trail Mix · WIP · RoastFlav,SFG
Curate Anjeer 200g,D: Pack-only,Sorting + Packing,RM,,RM
Curate Cashews 200g,D: Pack-only,Sorting + Packing,RM,,RM
Curate Cashews 500g,D: Pack-only,Sorting + Packing,RM,,RM
Curate Mamra Almonds 200g,D: Pack-only,Sorting + Packing,RM,,RM
Curate Oriental Dates 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Curate Pista Pishori 200g,B: Transform->Pack (in-line),Packing,SFG0124,Curate Pista Pishori · WIP · RoastFlav,SFG
Curate Prunes 200g,D: Pack-only,Sorting + Packing,RM,,RM
Curate Roasted Hazelnuts 200g,B: Transform->Pack (in-line),Packing,SFG0125,Curate Roasted Hazelnuts · WIP · Roast,SFG
Curate Roasted Hazelnuts 550g Jr,B: Transform->Pack (in-line),Packing,SFG0125,Curate Roasted Hazelnuts · WIP · Roast,SFG
Daily Mewa Healthy Mix,B: Transform->Pack (in-line),Packing,SFG0126,Daily Mewa Healthy Mix · WIP · RoastFlav,SFG
Dark Almond Draggies,B: Transform->Pack (in-line),Packing,SFG0127,Dark Almond Draggies · WIP · Roast+Enrobe,SFG
Dark Chocolate Coated Almond Stuffed Khalas Single,B: Transform->Pack (in-line),Packing,SFG0128,Dark Chocolate Coated Almond Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,SFG
Dark Chocolate Coated Cashew Stuffed Khalas Single,B: Transform->Pack (in-line),Packing,SFG0129,Dark Chocolate Coated Cashew Stuffed Khalas Single · WIP · DeSeed+Stuff+Enrobe,SFG
Dark Chocolate Coated Macadamia 110g,B: Transform->Pack (in-line),Packing,SFG0130,Dark Chocolate Coated Macadamia · WIP · Roast+Enrobe,SFG
Date Balls Coated Coconut (22G X 3),B: Transform->Pack (in-line),Packing,SFG0131,Date Balls Coated Coconut · WIP · BlendForm,SFG
Date Balls Coated Dark (22g x 3),B: Transform->Pack (in-line),Packing,SFG0132,Date Balls Coated Dark · WIP · BlendForm,SFG
Date Balls Coated Milk (22g x 3),B: Transform->Pack (in-line),Packing,SFG0133,Date Balls Coated Milk · WIP · BlendForm,SFG
Date Balls Coated White (22g x 3),B: Transform->Pack (in-line),Packing,SFG0134,Date Balls Coated White · WIP · BlendForm,SFG
Date Bites 9gm,B: Transform->Pack (in-line),Packing,SFG0136,Date Bites · WIP · BlendForm,SFG
Date Mewa Bon Bon Laddu (18g x 3),D: Pack-only,Sorting + Packing,RM,,RM
Date Mewa Festive Gifting & Feast Parcel 500gm,B: Transform->Pack (in-line),Packing,SFG0137,Date Mewa Festive Gifting & Feast Parcel · WIP · BlendForm,SFG
Date Mewa Ladu 18gm,B: Transform->Pack (in-line),Packing,SFG0138,Date Mewa Ladu · WIP · BlendForm,SFG
Dates Delight Khajur Pak 375gm,B: Transform->Pack (in-line),Packing,SFG0139,Dates Delight Khajur Pak · WIP · BlendForm,SFG
Dates Mewa Assorted 210gm,B: Transform->Pack (in-line),Packing,SFG0140,Dates Mewa Assorted · WIP · BlendForm,SFG
Dates Mewa Classic 210gm,B: Transform->Pack (in-line),Packing,SFG0141,Dates Mewa Classic · WIP · BlendForm,SFG
Dehydrated Ginger,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Cranberries 130gm,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Prunes 130g,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Prunes 130g [1 Case x 40 unit],D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Prunes 340g,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Prunes 340g [1 Case x 20 unit],D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Arabian dates 200g,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Arabian dates 200g [1 Case x 36 unit] Promo,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Arabian dates 500g,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Non-Promo,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Promo,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Fard Dates 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Fard Dates 200gm [1 Case x 36 unit] Non-Promo,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Fard Dates 200gm [1 Case x 36 unit] Promo,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Fard Dates 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Fard Dates 500gm [1 Case x 24 unit] Non-Promo,D: Pack-only,Sorting + Packing,RM,,RM
Delmonte Royal Fard Dates 500gm [1 Case x 24 unit] Promo,D: Pack-only,Sorting + Packing,RM,,RM
Deri Dates 250g (1359841),D: Pack-only,Sorting + Packing,RM,,RM
Diced Almond,B: Transform->Pack (in-line),Packing,SFG0142,Diced Almond · WIP · BlanchSlice,SFG
Dr Batra#s Hair Health Protein Bar 35gm,B: Transform->Pack (in-line),Packing,SFG0143,Dr Batra#s Hair Health Protein Bar · WIP · BlendForm,SFG
Dragees Dark Cranberry,B: Transform->Pack (in-line),Packing,SFG0144,Dragees Dark Cranberry · WIP · Roast+Enrobe,SFG
Dragees Milk Cranberry,B: Transform->Pack (in-line),Packing,SFG0145,Dragees Milk Cranberry · WIP · Roast+Enrobe,SFG
Dragees White Cranberry,B: Transform->Pack (in-line),Packing,SFG0146,Dragees White Cranberry · WIP · Roast+Enrobe,SFG
Drangees Dark Almond,B: Transform->Pack (in-line),Packing,SFG0147,Drangees Dark Almond · WIP · Roast+Enrobe,SFG
Dried Blueberry 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Dried Cranberry 100gm,D: Pack-only,Sorting + Packing,RM,,RM
Dried Cranberry Sliced,D: Pack-only,Sorting + Packing,RM,,RM
Dried Cranberry Whole,D: Pack-only,Sorting + Packing,RM,,RM
Dried Kiwi,D: Pack-only,Sorting + Packing,RM,,RM
Dried Mango Loose,D: Pack-only,Sorting + Packing,RM,,RM
Dried Masala Kiwi,D: Pack-only,Sorting + Packing,RM,,RM
Dried Masala Mango,B: Transform->Pack (in-line),Packing,SFG0148,Dried Masala Mango · WIP · RoastFlav,SFG
Dried Masala Pineapple,B: Transform->Pack (in-line),Packing,SFG0149,Dried Masala Pineapple · WIP · RoastFlav,SFG
Dried Prunes (Pitted),D: Pack-only,Sorting + Packing,RM,,RM
Dried Raspberry,D: Pack-only,Sorting + Packing,RM,,RM
Dry Fruit Hamper,B: Transform->Pack (in-line),Packing,SFG0150,Dry Fruit · WIP · RoastFlav,SFG
Dryfruit Instant Energy LadduBar Pack of 5,B: Transform->Pack (in-line),Packing,SFG0153,Dryfruit Instant Energy LadduBar Pack of · WIP · BlendForm,SFG
Dryfruit Instant Energy Laddubar Bites 9gm,B: Transform->Pack (in-line),Packing,SFG0152,Dryfruit Instant Energy Laddubar Bites · WIP · BlendForm,SFG
Dryfruit instant Energy laddu Bar 35gm,B: Transform->Pack (in-line),Packing,SFG0151,Dryfruit instant Energy laddu Bar · WIP · BlendForm,SFG
Energy Bar - Choco Crunch 30gm,B: Transform->Pack (in-line),Packing,SFG0154,Energy Bar - Choco Crunch · WIP · BlendForm,SFG
Energy Bar - Fig & Dates 30gm,B: Transform->Pack (in-line),Packing,SFG0155,Energy Bar - Fig & Dates · WIP · BlendForm,SFG
Energy Bar - Hazelnut Magic 30gm,B: Transform->Pack (in-line),Packing,SFG0156,Energy Bar - Hazelnut Magic · WIP · BlendForm,SFG
Energy Bar - Oats & Apricot 30gm,B: Transform->Pack (in-line),Packing,SFG0157,Energy Bar - Oats & Apricot · WIP · BlendForm,SFG
Energy Bars Oats and Dates (Pack of 6) 210gm,B: Transform->Pack (in-line),Packing,SFG0158,Energy Bars Oats and Dates · WIP · BlendForm,SFG
Extra Cheese Seasoning (UNC) 1Kg,B: Transform->Pack (in-line),Packing,SFG0159,Extra Cheese Seasoning · WIP · RoastFlav,SFG
Extra Cheese Seasoning Extreme,B: Transform->Pack (in-line),Packing,SFG0160,Extra Cheese Seasoning Extreme · WIP · RoastFlav,SFG
Extra Cheese Seasoning-UNC( Malaysian) 15kg,B: Transform->Pack (in-line),Packing,SFG0161,Extra Cheese Seasoning-UNC · WIP · RoastFlav,SFG
Extra Cheese Seasoning-UNC( Malaysian) 1kg,B: Transform->Pack (in-line),Packing,SFG0161,Extra Cheese Seasoning-UNC · WIP · RoastFlav,SFG
Extreme Cheese Seasoning( Malaysian) 1kg,B: Transform->Pack (in-line),Packing,SFG0162,Extreme Cheese Seasoning · WIP · RoastFlav,SFG
Ez Almond California Bold Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Almond California Regular Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Almond Mammra Regular Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Almond Mamra Regular Loose (1459019),D: Pack-only,Sorting + Packing,RM,,RM
Ez Almond Rstd Salted Loose,C: Pack of existing SFG,Packing,SFG0261,Roasted & Salted Almonds Bulk,SFG
Ez Anjeer Small Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Black Raisin Loose (1459026),D: Pack-only,Sorting + Packing,RM,,RM
Ez Black Raisin Seedless Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Blue Berry Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Cashew 210 Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Cashew 240 Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Cashew 320 Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Cashew 4pc Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Cashew Roasted Salted Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Chilean Walnut Giri Regular Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Chilean Walnut Giri Small Loose (1459038),D: Pack-only,Sorting + Packing,RM,,RM
Ez Cranberry Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Dried Apricot Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Green Pista Loose (1459047),D: Pack-only,Sorting + Packing,RM,,RM
Ez Honey Amla Loose (1459048),D: Pack-only,Sorting + Packing,RM,,RM
Ez Khurmani Wet Apricot Loose (1459052),D: Pack-only,Sorting + Packing,RM,,RM
Ez Kishmish Afghani Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Mix Dry Fruit Regular Loose (1459062),D: Pack-only,Sorting + Packing,RM,,RM
Ez Munakka Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Pista Roasted Salted Akbari Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Pista Roasted Salted Irani Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Walnut Broken Loose,D: Pack-only,Sorting + Packing,RM,,RM
Ez Walnut Whole Loose,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA ALMOND 100G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA ALMOND 200G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA ALMOND 500G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA ALMOND REGULAR 100G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA ALMOND REGULAR 200G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA ALMOND REGULAR 500G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA Apricots Dry 100gm,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA BLACK RAISINS 100G (1455547),D: Pack-only,Sorting + Packing,RM,,RM
FABSTA BLACK RAISINS 200G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA BLACK RAISINS 500G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA CASHEWNUT 240 COUNT 200g,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA CASHEWNUT BROKEN 200G,B: Transform->Pack (in-line),Packing,SFG0163,FABSTA CASHEWNUT BROKEN · WIP · BlanchSlice,SFG
FABSTA INDIAN RAISINS 200G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA INDIAN RAISINS 500G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA PISTA CALIFORNIA 200G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA Raisins Indian 100 Gm,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA WALNUT SPLIT 250G,D: Pack-only,Sorting + Packing,RM,,RM
FABSTA Walnut Split 100gm,D: Pack-only,Sorting + Packing,RM,,RM
FESTIVE GREETING 560gm,D: Pack-only,Sorting + Packing,RM,,RM
FIESTA DryFruit Box 800gm,D: Pack-only,Sorting + Packing,RM,,RM
FNP Almonds 26-29 - Salted & Roasted 50 gm,C: Pack of existing SFG,Packing,SFG0261,Roasted & Salted Almonds Bulk,SFG
FNP Choco Almonds 50gm,B: Transform->Pack (in-line),Packing,SFG0164,FNP Choco Almonds · WIP · Roast+Enrobe,SFG
FNP Choco Berry Bites 50gm,B: Transform->Pack (in-line),Packing,SFG0165,FNP Choco Berry Bites · WIP · BlendForm,SFG
FNP Fiery Almonds Sizzlin Peri Peri 50gm,D: Pack-only,Sorting + Packing,RM,,RM
FNP Indian Raisins 70 gm,D: Pack-only,Sorting + Packing,RM,,RM
FNP Pistachios Salted & Roasted 50 gm,B: Transform->Pack (in-line),Packing,SFG0166,FNP Pistachios Salted & Roasted · WIP · RoastFlav,SFG
FNP Salt & Pepper Cashew 50gm,C: Pack of existing SFG,Packing,SFG0278,Salt and Pepper Cashew Bulk,SFG
FNP Smokin Sweet N Smoky BBQ Almond 50gm,D: Pack-only,Sorting + Packing,RM,,RM
FNP Smokin Sweet N Smoky BBQ Cashew 50g,C: Pack of existing SFG,Packing,SFG0285,Smokey BBQ Cashew Bulk,SFG
Fabsta Anjeer 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Fabsta Figs Regular 500gm,D: Pack-only,Sorting + Packing,RM,,RM
Fabsta Rstd Flax Seeds 100g,D: Pack-only,Sorting + Packing,RM,,RM
Fabsta Rstd Melon Seeds 100g,D: Pack-only,Sorting + Packing,RM,,RM
Fabsta Rstd Pumpkin Seeds 100g,D: Pack-only,Sorting + Packing,RM,,RM
Fabsta Rstd Sunflower Seeds 100g,D: Pack-only,Sorting + Packing,RM,,RM
Fabsta Walnut Split 500g,D: Pack-only,Sorting + Packing,RM,,RM
Fan Bag 300g,D: Pack-only,Sorting + Packing,RM,,RM
Fardh Dates,D: Pack-only,Sorting + Packing,RM,,RM
Festive Box - Magic Moments 600g,D: Pack-only,Sorting + Packing,RM,,RM
Festive Box - Supreme 1000g,D: Pack-only,Sorting + Packing,RM,,RM
Festive Hamper 01,D: Pack-only,Sorting + Packing,RM,,RM
Festive Hamper 02,D: Pack-only,Sorting + Packing,RM,,RM
Festive Hamper 03,D: Pack-only,Sorting + Packing,RM,,RM
Flaxseeds 200G (B07GR346G4),D: Pack-only,Sorting + Packing,RM,,RM
Flaxseeds 500G (B07GQZ7ZVT),D: Pack-only,Sorting + Packing,RM,,RM
Floppy Bag Gift Hamper,D: Pack-only,Sorting + Packing,RM,,RM
Foodsquare Truffle Laquered Nuts (Bulk),D: Pack-only,Sorting + Packing,RM,,RM
Foodsquare Truffle Laquered Nuts 200gm,D: Pack-only,Sorting + Packing,RM,,RM
Forsi Coctail Mix,D: Pack-only,Sorting + Packing,RM,,RM
Forsi Panchmewa,D: Pack-only,Sorting + Packing,RM,,RM
GOOD LIFE ARABIAN DATES 500 g,D: Pack-only,Sorting + Packing,RM,,RM
GOOD LIFE CHIA SEED 100G,D: Pack-only,Sorting + Packing,RM,,RM
GOOD LIFE FARD DATES 500 g,D: Pack-only,Sorting + Packing,RM,,RM
GOOD LIFE FLAX SEED 100G,D: Pack-only,Sorting + Packing,RM,,RM
GOOD LIFE PUMPKIN SEED 100G,D: Pack-only,Sorting + Packing,RM,,RM
GOOD LIFE SUNFLOWER SEED 100G,D: Pack-only,Sorting + Packing,RM,,RM
Gondh Dryfruit Laddu Bar 35gm,B: Transform->Pack (in-line),Packing,SFG0167,Gondh Dryfruit Laddu Bar · WIP · BlendForm,SFG
Gondh Dryfruit LadduBar Pack of 6,B: Transform->Pack (in-line),Packing,SFG0168,Gondh Dryfruit LadduBar Pack of · WIP · BlendForm,SFG
Good Health Dry Fruit Box 750 g,D: Pack-only,Sorting + Packing,RM,,RM
Green Chilli Cashew Bulk,A: WIP producer (bulk),Packing,SFG0169,Green Chilli Cashew Bulk,SFG
Green Chilly Cashew,D: Pack-only,Sorting + Packing,RM,,RM
Green Leafy Trunk Gift Hamper,D: Pack-only,Sorting + Packing,RM,,RM
Greendot Coated Peanuts,B: Transform->Pack (in-line),Packing,SFG0170,Greendot Coated Peanuts · WIP · RoastFlav,SFG
Grey Carry All Basket Hamper,D: Pack-only,Sorting + Packing,RM,,RM
H Finest Turkey Appricot 300g(1340538),D: Pack-only,Sorting + Packing,RM,,RM
HA AJWA DATES 300GM (1357012),D: Pack-only,Sorting + Packing,RM,,RM
HA ALMOND MAMRA 100g (1340535),D: Pack-only,Sorting + Packing,RM,,RM
HA APRICOT - JARDALOO 200g (1340540),D: Pack-only,Sorting + Packing,RM,,RM
