fg_name,cycle_archetype,final_stage_label,input_code,input_sfg_article,input_kind
Tasties Trail Mix - Mixed Dry Fruits 75 g,D: Pack-only,Sorting + Packing,RM,,RM
Tasties Trail Mix - Wholesome Nut Mix 75 g,D: Pack-only,Sorting + Packing,RM,,RM
Trail Mix,B: Transform->Pack (in-line),Packing,SFG0308,Trail Mix · WIP · RoastFlav,SFG
Trail Mix - Every Health,B: Transform->Pack (in-line),Packing,SFG0309,Trail Mix - Every Health · WIP · RoastFlav,SFG
Trail Mix Bulk,B: Transform->Pack (in-line),Packing,SFG0308,Trail Mix · WIP · RoastFlav,SFG
Turkey Apricot No 1,D: Pack-only,Sorting + Packing,RM,,RM
Urban Platter Almond Blueberry Bar 45g,B: Transform->Pack (in-line),Packing,SFG0310,Urban Platter Almond Blueberry Bar · WIP · BlendForm,SFG
Urban Platter Chocolate Vanilla Bar 45g,B: Transform->Pack (in-line),Packing,SFG0311,Urban Platter Chocolate Vanilla Bar · WIP · BlendForm,SFG
Urban Platter Cranberry Orange Bar 45g,B: Transform->Pack (in-line),Packing,SFG0312,Urban Platter Cranberry Orange Bar · WIP · BlendForm,SFG
Urban Platter Mocha Bar 45g,B: Transform->Pack (in-line),Packing,SFG0313,Urban Platter Mocha Bar · WIP · BlendForm,SFG
Urban Platter Panchmewa,D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Almonds 100g (B07GQZ7ZTZ) FBA,C: Pack of existing SFG,Packing,SFG0343,Roasted Independence Almonds Bulk,SFG
Vedaka Almonds 1kg (B07GQNM6N2),C: Pack of existing SFG,Packing,SFG0343,Roasted Independence Almonds Bulk,SFG
Vedaka Almonds 500g (B07GQNQNJG),C: Pack of existing SFG,Packing,SFG0343,Roasted Independence Almonds Bulk,SFG
"Vedaka Almonds, Raisins, Cashews, and Pista (4 X 200 gm)B0BVVV1SMF",D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Black Raisins - 500g (B0D9P37XTT),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Black pepper Cashew 200g (B0BTHWW69R),C: Pack of existing SFG,Packing,SFG0024,Black Pepper Cashew Bulk,SFG
Vedaka Broken Cashew 1kg (B0D9NZYHDC),B: Transform->Pack (in-line),Packing,SFG0314,Vedaka Broken Cashew · WIP · BlanchSlice,SFG
Vedaka Cashew 200g (B07GQZSS48),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Cashews - Broken 500g (B0D9NYHTG1),B: Transform->Pack (in-line),Packing,SFG0315,Vedaka Cashews - Broken · WIP · BlanchSlice,SFG
Vedaka Dried Figs - 250g (B0D9NZ5GFV),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Dry Dates powder 250gm (B0DRDCLY1Q),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Dry Dates powder 500g (B0DRD9F8G2),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Dry Fruit Combo - Almonds and Cashews (2 X 200 gm) (B0BVVRS2N7),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Dry Fruit Combo - Almonds and Raisins (2 X 200 gm) (B0BTHYWT53),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Dry Fruit Combo - Raisins and Cashews (2 X 200 gm) (B0BVVVGN99),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Fard Dates (Omani) - (500gm x 2) (B0D9NZY7RK),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Fresh Dates 500g (102219254),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Fresh Dates 500gm (Pack of 2) [B0D9P11T76],D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Healthy Seed Mix 200gm(B0B69L57PV),B: Transform->Pack (in-line),Packing,SFG0316,Vedaka Healthy Seed Mix · WIP · RoastFlav,SFG
Vedaka Peri Peri Cashew 200g (B0BVVRRYVC),C: Pack of existing SFG,Packing,SFG0235,Peri Peri Cashew Bulk,SFG
Vedaka Popular Cashew Broken 100g FBA(B07GR3S1RL),B: Transform->Pack (in-line),Packing,SFG0317,Vedaka Popular Cashew Broken · WIP · BlanchSlice,SFG
Vedaka Popular Cashew Broken 200g FBA(B07GQWS1BS),B: Transform->Pack (in-line),Packing,SFG0317,Vedaka Popular Cashew Broken · WIP · BlanchSlice,SFG
"Vedaka Popular Raisins, 1 kg (B07GR82XJR)",D: Pack-only,Sorting + Packing,RM,,RM
"Vedaka Popular Raisins, 100 g (B07GRBFFMS)",D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Black Raisins 100g B07GQVNVV8,D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Black Raisins 200g (B07GR346FX),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Blueberries 1kg (B07GR82XK8),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Blueberries 200g (B07GQWST7K),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Dry Fruits Combo 1000 gm Gift Box ( B0BBDP8GR2 ),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Flavored Dry Fruits 500 gm Gift Box (B0CGVC7DF2),B: Transform->Pack (in-line),Packing,SFG0318,Vedaka Premium Flavored Dry Fruits · WIP · RoastFlav,SFG
Vedaka Premium Inshell Walnuts 500g (Pack of 2)B07MSXKDNQ,D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Inshell Walnuts 500g(B07LFJZR46),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Roasted and Salted Almonds 200g B07GR346FM,D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Roasted and Salted Almonds100g B07GQQJP1N,D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Sunflower Seeds 500g (B07GR2G67L),B: Transform->Pack (in-line),Packing,SFG0319,Vedaka Premium Sunflower Seeds · WIP · Roast,SFG
Vedaka Premium Whole Cranberries 100g B07GR24VMV,D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Whole Cranberries 1kg (B07GR8351K),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Whole Cranberries 200g (B07GR2G678),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Premium Whole Cranberries 500g (B07GQS1669),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Raw Flaxseed 1kg (B0D9NZS3JT),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Roasted and Salted California Pistachios 500g (B0D9NY8F36),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Salted Peanuts - 200g (B0CZ9GZ9F2),B: Transform->Pack (in-line),Packing,SFG0320,Vedaka Salted Peanuts · WIP · RoastFlav,SFG
Vedaka Salted Peanuts 200 gm (102219262),B: Transform->Pack (in-line),Packing,SFG0320,Vedaka Salted Peanuts · WIP · RoastFlav,SFG
Vedaka Turkish Dried Apricots (500gm x 2) (B0D9P1DS9Q),D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Whole California Pista Kernels 500gm [B0D9NY1V9X],D: Pack-only,Sorting + Packing,RM,,RM
Vedaka Whole Cashews (Grade W320) 1kg (B0D9NY9M32),D: Pack-only,Sorting + Packing,RM,,RM
Walnut Flavoured Salt & Pepper (Quarters) Loose,B: Transform->Pack (in-line),Packing,SFG0321,Walnut Flavoured Salt & Pepper · WIP · RoastFlav,SFG
Walnut Tukda,D: Pack-only,Sorting + Packing,RM,,RM
Wasabi Makhana,D: Pack-only,Sorting + Packing,RM,,RM
Watermelon Seeds Roasted,B: Transform->Pack (in-line),Packing,SFG0322,Watermelon Seeds Roasted · WIP · Roast,SFG
Wheat Starch - TPL,D: Pack-only,Sorting + Packing,RM,,RM
White Almond Draggies,B: Transform->Pack (in-line),Packing,SFG0323,White Almond Draggies · WIP · Roast+Enrobe,SFG
Wholesome Millet LadduBar Pack of 6,D: Pack-only,Sorting + Packing,RM,,RM
Wholesome millet laddu bar 35gm,B: Transform->Pack (in-line),Packing,SFG0324,Wholesome millet laddu bar · WIP · BlendForm,SFG
YUMASANA CASHEWS- BARBEQUE 150g,C: Pack of existing SFG,Packing,SFG0019,Barbeque Cashew Bulk,SFG
YUMASANA CASHEWS- PEPPER 150g,C: Pack of existing SFG,Packing,SFG0024,Black Pepper Cashew Bulk,SFG
YUMASANA CASHEWS- SALTED 150g,C: Pack of existing SFG,Packing,SFG0262,Roasted & Salted Cashew Bulk,SFG
YUMASANA CASHEWS- SOUR CREAM 150g,C: Pack of existing SFG,Packing,SFG0293,Sour & Cream Cashew Bulk,SFG
YUMASANA COATED PEANUTS - BARB EQUE 150g,B: Transform->Pack (in-line),Packing,SFG0325,YUMASANA COATED PEANUTS - BARB EQUE · WIP · RoastFlav,SFG
YUMASANA COATED PEANUTS - CHILLI GARLIC 150g,B: Transform->Pack (in-line),Packing,SFG0326,YUMASANA COATED PEANUTS - CHILLI GARLIC · WIP · RoastFlav,SFG
YUMASANA COATED PEANUTS - PERI PERI 150g,B: Transform->Pack (in-line),Packing,SFG0327,YUMASANA COATED PEANUTS - PERI PERI · WIP · RoastFlav,SFG
YUMASANA COATED PEANUTS - THAI CHILLI 150g,B: Transform->Pack (in-line),Packing,SFG0328,YUMASANA COATED PEANUTS - THAI CHILLI · WIP · RoastFlav,SFG
YUMSANA CHOCO HAZELNUT SPREAD 340GM,D: Pack-only,Sorting + Packing,RM,,RM
Zorro Maple Glazed Pecans 100g,B: Transform->Pack (in-line),Packing,SFG0329,Zorro Maple Glazed Pecans · WIP · RoastFlav,SFG
Zorro Pecan 100g,D: Pack-only,Sorting + Packing,RM,,RM
Zorro Pecan Grain Free Granola 100g,B: Transform->Pack (in-line),Packing,SFG0330,Zorro Pecan Grain Free Granola · WIP · RoastFlav,SFG
Zorro Roasted & Lightly Salted Pecans 100g,B: Transform->Pack (in-line),Packing,SFG0331,Zorro Roasted & Lightly Salted Pecans · WIP · RoastFlav,SFG
Zorro Sweet & Spicy Pecan 100g,B: Transform->Pack (in-line),Packing,SFG0332,Zorro Sweet & Spicy Pe · WIP · RoastFlav,SFG
snack amor Coated Peanuts Pudina Patakha 100g,C: Pack of existing SFG,Packing,SFG0334,Coated Peanuts Pudina Patakha Bulk,SFG
