sfg_code,particulars,item_type,item_group,uom,sale_group,gst,batch_strategy,create_wip_operation,sfg_origin,already_in_all_sku,needs_cataloguing,possible_existing_match
SFG0042,Carnival Almond Choco Bite · WIP · Roast+Enrobe,sfg,BARS & CEREALS,kg,wip,,FIFO,Roasting + Enrobe / Choco-Coat,DERIVED_INLINE,N,Y,
SFG0043,Carnival Almond Smoked Paprika · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0044,Carnival Barbeque Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0045,Carnival Berry Barbeque Trail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0046,Carnival Black Pepper Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0047,Carnival California Pista Roasted and Salted · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0048,Carnival Caramel Sesame Walnut · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0049,Carnival Chatpata Black Raisins · WIP · RoastFlav,sfg,RAISIN,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0050,Carnival Cheese Cashew · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0051,Carnival Cheese Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0052,Carnival Choco Orange Walnut · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0053,Carnival Classic Date Bites · WIP · BlendForm,sfg,BARS & CEREALS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0054,Carnival Classic Pumpkin Seeds · WIP · Roast,sfg,SEEDS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0055,Carnival Classic Sunflower Seeds · WIP · Roast,sfg,SEEDS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0056,Carnival Cocktail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0057,Carnival Cocktail Mix Plain · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0058,Carnival Crunchy Caramel Trail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0059,Carnival Festive Black Raisin Seedless · WIP · DeSeed,sfg,RAISIN,kg,wip,,FIFO,De-Seeding,DERIVED_INLINE,N,Y,
SFG0060,Carnival Festive California Pista · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0061,Carnival Festive Chatpata Cranberry · WIP · RoastFlav,sfg,CRANBERRY,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0062,Carnival Festive Crunchy Caramel Trail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0063,Carnival Festive Nuts & Seeds Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0064,Carnival Festive Paan Cranberry · WIP · RoastFlav,sfg,CRANBERRY,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0065,Carnival Festive Paan Raisin · WIP · RoastFlav,sfg,RAISIN,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0066,Carnival Festive Salted Almonds · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0067,Carnival Festive Salted Cashew · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0068,Carnival Festive Seedless Black Raisin · WIP · DeSeed,sfg,RAISIN,kg,wip,,FIFO,De-Seeding,DERIVED_INLINE,N,Y,
SFG0069,Carnival FestiveSalted Cashew · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0070,Carnival Flax Seeds · WIP · Roast,sfg,SEEDS,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0071,Carnival Ganpati Date Mewa · WIP · BlendForm,sfg,FESTIVE HAMPERS,kg,wip,,FIFO,Blend & Form,DERIVED_INLINE,N,Y,
SFG0072,Carnival Himalayan Salt & Pepper Pistachios · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0073,Carnival Honey Roasted Almonds · WIP · RoastFlav,sfg,ALMOND,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0074,Carnival Mocha Mojo Trail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0075,Carnival Nuts & Seed Mix · WIP · Roast,sfg,TRAIL MIX,kg,wip,,FIFO,Roasting,DERIVED_INLINE,N,Y,
SFG0076,Carnival Pan Raisin · WIP · RoastFlav,sfg,RAISIN,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0077,Carnival Pepper Cashew · WIP · RoastFlav,sfg,CASHEW,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0078,Carnival Pepper Pistachios · WIP · RoastFlav,sfg,PISTA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0079,Carnival Peri Peri Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0080,Carnival Peri Peri Walnut · WIP · RoastFlav,sfg,WALNUT,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0081,Carnival Popcorn Makhana · WIP · RoastFlav,sfg,MAKHANA,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
SFG0082,Carnival Premium Cocktail Mix · WIP · RoastFlav,sfg,TRAIL MIX,kg,wip,,FIFO,Roast & Flavour/Salt,DERIVED_INLINE,N,Y,
