article,entity,raw_process_category,cycle_archetype,stage_seq,stage_bucket,stage_label,create_wip_operation,input_code,input_kind,output_code,output_kind
3 Jar Jute Bag Gift Hamper,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
3pcs date balls with blister,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0135,SFG
3pcs date balls with blister,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0135,SFG,FG,FG
4 PET WOODEN BOX WITH LID HAMPER,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
5 Grain Cereal 35gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0001,SFG
5 Grain Cereal 35gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0001,SFG,FG,FG
5 Grain Cereal 50 GM,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0002,SFG
5 Grain Cereal 50 GM,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0002,SFG,FG,FG
AL BARAKAH DATES SYRUP (400G Packing),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH FARD DATES PREMIUM - 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH KHALAS DATES 1KG,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH KHALAS DATES 500 Gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
AL BARAKAH KHALAS DATES SEEDLESS 350GM,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0005,SFG
AL BARAKAH KHALAS DATES SEEDLESS 350GM,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0005,SFG,FG,FG
AL BARAKAH PREMIUM SEEDLESS DATES 500G,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0006,SFG
AL BARAKAH PREMIUM SEEDLESS DATES 500G,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0006,SFG,FG,FG
AL BARAKAH SAFAVI DATES 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Abjosh (Munakka) 100gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Afghan Black Raisins Seedless 1*1,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Afghan Raisins 1*1 Green round,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Ajwa Dates 400gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Arabian 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Arabian 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Golden 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Oman Seedless 1kg,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0003,SFG
Al Barakah Dates Oman Seedless 1kg,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0003,SFG,FG,FG
Al Barakah Dates Safavi 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Dates Safavi Seedless 400g,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0004,SFG
Al Barakah Dates Safavi Seedless 400g,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0004,SFG,FG,FG
Al Barakah Dehydrated Date Powder 250g,cfpl,Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Emirate Dates 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Fard Dates 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Khalas Dates 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Khanezi Dates 500 GM,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Khenaizi Dates 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Kimia Dates 500 Gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Medjoul Dates 500Gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Oman Dates 400g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Oman Dates 500gm Tub,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Al Barakah Premium Medjool 800gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Almond Apricot and Seeds Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0007,SFG
Almond Apricot and Seeds Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0007,SFG,FG,FG
Almond Blanched Sliced,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0008,SFG,FG,FG
"Almond Blanched, whole",cfpl,Sorting + Blanching (Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Blanching,Blanching,RM,RM,SFG0008,SFG
"Almond Blanched, whole",cfpl,Sorting + Blanching (Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0008,SFG,FG,FG
Almond Cranberry Black currant and seeds Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0009,SFG
Almond Cranberry Black currant and seeds Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0009,SFG,FG,FG
Almond Kernal 150gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Almond Kernal 450gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Almond Masala,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0010,SFG
Almond Masala,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0010,SFG,FG,FG
Almond Peri Peri,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0011,SFG
Almond Peri Peri,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0011,SFG,FG,FG
Almond Roasted,cfpl,Sorting + Roasting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Almond Selected 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Almond Sliced,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Blanch & Slice,Blanch & Slice,RM,RM,SFG0012,SFG
Almond Sliced,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0012,SFG,FG,FG
Almonds Kernel Cube Cut,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blanch & Slice,Blanch & Slice,RM,RM,SFG0013,SFG
Almonds Kernel Cube Cut,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0013,SFG,FG,FG
Amary Dates 250g (1356293),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),cfpl,Sorting + Roasting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0014,SFG
Amazon Brand - Vedaka Raw Sunflower Seeds 1 Kg B0D9P1N25J,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0014,SFG,FG,FG
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0015,SFG
Amazon Brand Nuts Berries and Seed Mix 200g (B0B69J57QV),cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0015,SFG,FG,FG
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0016,SFG
Amazon Brand Vedaka Dryfruits and Berries Mix 200g (B0B69KXW9J),cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0016,SFG,FG,FG
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0017,SFG
Amazon Brand Vedaka Dryfruits and Nut Mix 200g (B0B69KB4GB),cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0017,SFG,FG,FG
Amazon Brand- Vedaka Dry Dates powder 200g,cfpl,Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
American Almonds (23-25 Count),cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
American Almonds (24-25 Count),cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
American Almonds Running 25-27 count,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
American Almonds Tukda,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Anjeer (Figs),cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Anjeer 1*2 75gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Antioxidant Mix 33gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0018,SFG
Antioxidant Mix 33gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0018,SFG,FG,FG
Antioxidant Mix 35gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0018,SFG
Antioxidant Mix 35gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0018,SFG,FG,FG
Apricot Kernel,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Ar Barakah Fard Dates 1kg,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Azmah Dates 500 Gms (110002703),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Ajwa Dates 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Black Current 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dates - Ajwa 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dates - Deri 500 g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dates - Golden 500 g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dates - Mazafati 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dates - Medjool 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dates - Omani 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
"BB Royal Dates - Red, Seedless 250 g",cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0022,SFG
"BB Royal Dates - Red, Seedless 250 g",cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0022,SFG,FG,FG
BB Royal Dates - Safawi 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dates - Zahidi 500 g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dried Blue Berries 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dried Blue Berries 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dried Cran Berries 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Dried Cran Berry 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Mazafati Dates 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Medjool Dates 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Red Dates - With Seeds 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BB Royal Safavi Dates 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BBroyal Black Current 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
BLACK PEPPER CASHEW,cfpl,Flavouring (Bulk Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0024,SFG,FG,FG
BLISSFUL CELEBRATION 360gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Banarasi Box Hamper 03,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Barbeque Almonds,cfpl,Flavouring (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Barbeque Cashew,cfpl,Flavouring (Bulk Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0019,SFG,FG,FG
Barbeque Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0019,SFG
Barbeque Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0019,SFG,FG,FG
Barbeque Macadamia,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0020,SFG
Barbeque Macadamia,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0020,SFG,FG,FG
Barbeque Makhana,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0021,SFG
Barbeque Makhana,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0021,SFG,FG,FG
Bb Royal Omani Dates 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Berry Mix,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Black Pepper Almonds,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0023,SFG
Black Pepper Almonds,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0023,SFG,FG,FG
Black Pepper Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0024,SFG
Black Pepper Cashew Bulk,cfpl,Flavouring + Roasting +Bulk Packaging,A: WIP producer (bulk),2,Final FG,Packing,,SFG0024,SFG,FG,FG
Black Pepper Macadamia Trail Mix,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0025,SFG
Black Pepper Macadamia Trail Mix,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0025,SFG,FG,FG
Black Pepper Nutty Seed Mix 250gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0026,SFG
Black Pepper Nutty Seed Mix 250gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0026,SFG,FG,FG
Black Pepper Pecannut,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0027,SFG
Black Pepper Pecannut,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0027,SFG,FG,FG
Blackcurrant Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0028,SFG
Blackcurrant Date Balls 48 gms,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0028,SFG,FG,FG
Blueberries 230g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Blueberries 75gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Booster Berries 33gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Booster Berries 35gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Brazil Nuts,cfpl,Sorting (Bulk Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Breakfast Mix Bulk,cfpl,Flavouring + Roasting,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0029,SFG
Breakfast Mix Bulk,cfpl,Flavouring + Roasting,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0029,SFG,FG,FG
CA GOA PRE CASHEW 230GM/P,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CA INDIAN PREMIUM QUALITY RAISINS 150/P,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CA PREMIUM ALMOND CALIFORNIA 218GM/P,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CA PREMIUM DRY CANBERRY 230GM/P,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CA PREMIUM PINSHROSTSALTIRANIPISTA15 /P,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CA WALNUT CHILE (VACUUM PACKING)250GM /P,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CARNIVAL Mayur Ratna Big 520g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CARNIVAL Mayur Ratna Big 520gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CARNIVAL Mayur Ratna Small 360g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CARNIVAL Mayur Ratna Small 360gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CARNIVAL RAISIN IDNIAN GREEN/GOLDEN ROUND 1KG,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CARNIVAL Royal divine 550g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CARNIVAL Utsav 700g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CCD Energy Bar with Jaggery,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0096,SFG
CCD Energy Bar with Jaggery,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0096,SFG,FG,FG
CELEBRATING MOMENTS 300gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CELEBRATION SLEEK BOX 300gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CELEBRATIONS 550gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CHATPATA SNACK MIX,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0099,SFG
CHATPATA SNACK MIX,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0099,SFG,FG,FG
CLASSIC WOODEN BOX 480gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CURATE BLUEBERRIES 200G,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CURATE DATE BITES ASRTD RO/CA IND 420G,cfpl,Sorting + Blending + Bar Forming + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CURATE DATE BITES IND 210G,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0122,SFG
CURATE DATE BITES IND 210G,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0122,SFG,FG,FG
CURATE DATE BITES ROSE IND 210G,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0123,SFG
CURATE DATE BITES ROSE IND 210G,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0123,SFG,FG,FG
CURATE DATE BITES ROSE IND 360G,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0123,SFG
CURATE DATE BITES ROSE IND 360G,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0123,SFG,FG,FG
CURATE MACADEMIA NUTS 200G,cfpl,Sorting + Roasting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CURATE MAMRA ALMOND 500G,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
CURATE WHOLE CRANBERRIES 200G,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleria Walnut Kernel 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries  Pepper Pista Inshell 250gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries American Almond 25-27count - 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries American Pista Inshell Regular 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries American Pista Inshell Selected 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Blueberry 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
